Term,P-value,Adjusted P-value,Combined Score,Genes
Lipid Droplet (GO:0005811),0.220418558,0.790910347,3.497468675,HSD17B13;AUP1
Late Endosome Membrane (GO:0031902),0.232300065,0.790910347,3.253522151,SPAAR;SLC31A2
Clathrin-Coated Endocytic Vesicle (GO:0045334),0.232300065,0.790910347,3.253522151,EPGN;HLA-DQB2
Lysosomal Lumen (GO:0043202),0.236269897,0.790910347,3.177310365,LUM;BGN
Clathrin-Coated Vesicle Membrane (GO:0030665),0.25218135,0.790910347,2.895296767,EPGN;HLA-DQB2
Tertiary Granule (GO:0070820),0.253099394,0.790910347,2.399928282,CD93;OLR1;STOM
Lumenal Side Of Endoplasmic Reticulum Membrane (GO:0098553),0.253240138,0.790910347,4.877309133,HLA-DQB2
Chromosome (GO:0005694),0.258871208,0.790910347,2.330981761,RECQL4;CCDC137;KMT5A
Membrane Raft (GO:0045121),0.273374204,0.790910347,2.169028485,TLR1;GHSR;STOM
Non-Motile Cilium (GO:0097730),0.277098185,0.790910347,4.085485335,ARL13B
Golgi Stack (GO:0005795),0.284881042,0.790910347,3.86386747,GOLPH3L
Golgi Lumen (GO:0005796),0.292011022,0.790910347,2.32192996,LUM;BGN
Phagocytic Vesicle (GO:0045335),0.292011022,0.790910347,2.32192996,RAB39A;RAB8B
trans-Golgi Network Membrane (GO:0032588),0.292011022,0.790910347,2.32192996,GOLPH3L;HLA-DQB2
Cell Projection Membrane (GO:0031253),0.311847103,0.790910347,2.090733241,ARL13B;CA4
Cul3-RING Ubiquitin Ligase Complex (GO:0031463),0.315187262,0.790910347,3.134177325,KCTD5
SAGA-type Complex (GO:0070461),0.337074845,0.790910347,2.712170772,TAF9
Ciliary Membrane (GO:0060170),0.337074845,0.790910347,2.712170772,ARL13B
Endosome Membrane (GO:0010008),0.347511878,0.790910347,1.373435428,SPAAR;SLC31A2;ANTXR2;ASB15;RAB8B
Brush Border Membrane (GO:0031526),0.351278297,0.790910347,2.475173881,CA4
Secretory Granule Membrane (GO:0030667),0.352574079,0.790910347,1.402090009,CD93;CA4;OLR1;STOM
Mitochondrial Respiratory Chain Complex I (GO:0005747),0.358266018,0.790910347,2.367738053,NDUFB2
Respiratory Chain Complex I (GO:0045271),0.358266018,0.790910347,2.367738053,NDUFB2
Transcription Factor TFIID Complex (GO:0005669),0.365178818,0.790910347,2.266865331,TAF9
Cytoplasmic Side Of Plasma Membrane (GO:0009898),0.385807505,0.790910347,1.441343037,BLK;GEM
Bounding Membrane Of Organelle (GO:0098588),0.386080996,0.790910347,1.088945272,CD93;ARL13B;CA4;GOLPH3L;RAB39A;MMD2;ANTXR2;B4GALNT2;HLA-DQB2;ASB15
Golgi-associated Vesicle (GO:0005798),0.398646673,0.790910347,1.844124266,RAB8B
Cytoplasmic Vesicle Membrane (GO:0030659),0.407136161,0.790910347,1.080970119,CD93;CA4;ANTXR2;HLA-DQB2;ASB15
Heterochromatin (GO:0000792),0.4115367,0.790910347,1.705961362,FOXC1
Microbody Lumen (GO:0031907),0.4115367,0.790910347,1.705961362,NOS2
Peroxisomal Matrix (GO:0005782),0.4115367,0.790910347,1.705961362,NOS2
Golgi Cisterna (GO:0031985),0.424151686,0.790910347,1.581869322,GOLPH3L
Large Ribosomal Subunit (GO:0015934),0.430357869,0.790910347,1.52450875,RPL7L1
Cytosolic Large Ribosomal Subunit (GO:0022625),0.430357869,0.790910347,1.52450875,RPL7L1
Intracellular Organelle Lumen (GO:0070013),0.439866334,0.790910347,0.896863574,COL3A1;FKBP14;LUM;BGN;SERPING1;FMO1;THEM4;AMPD3;TRNT1;PPIB
Secretory Granule Lumen (GO:0034774),0.442129279,0.790910347,0.965666938,CLEC3B;SERPING1;CHI3L1;AMPD3
ER To Golgi Transport Vesicle Membrane (GO:0012507),0.448579779,0.790910347,1.36878901,HLA-DQB2
Coated Vesicle Membrane (GO:0030662),0.448579779,0.790910347,1.36878901,HLA-DQB2
Extracellular Membrane-Bounded Organelle (GO:0065010),0.460404201,0.790910347,1.276936606,OLFML3
Vesicle (GO:0031982),0.464408211,0.790910347,0.91474759,NOS2;OLFML3;STOM
Azurophil Granule Membrane (GO:0035577),0.466221422,0.790910347,1.234163824,STOM
Actin Cytoskeleton (GO:0015629),0.468152084,0.790910347,0.866927049,DENND2A;LMOD1;RCSD1;CENPQ
Extracellular Vesicle (GO:1903561),0.477669256,0.790910347,1.154308025,OLFML3
Ficolin-1-Rich Granule Membrane (GO:0101003),0.477669256,0.790910347,1.154308025,CD93
Filopodium (GO:0030175),0.477669256,0.790910347,1.154308025,ACTG2
trans-Golgi Network (GO:0005802),0.480937175,0.790910347,0.850767095,CA4;GOLPH3L;HLA-DQB2
Specific Granule Lumen (GO:0035580),0.483301195,0.790910347,1.117005286,CHI3L1
Golgi Membrane (GO:0000139),0.48671406,0.790910347,0.786666639,GOLPH3L;RAB39A;MMD2;B4GALNT2;HLA-DQB2
Platelet Alpha Granule Lumen (GO:0031093),0.510567009,0.794074654,0.953015271,SERPING1
Endocytic Vesicle Membrane (GO:0030666),0.51167429,0.794074654,0.786583848,EPGN;HLA-DQB2
Vacuolar Lumen (GO:0005775),0.518351015,0.794074654,0.761584801,LUM;BGN
Cilium (GO:0005929),0.523790286,0.794074654,0.703646885,ARL13B;TMEM138;TSSK1B
Vesicle Membrane (GO:0012506),0.526234031,0.794074654,0.869880166,NOS2
Recycling Endosome Membrane (GO:0055038),0.531344634,0.794074654,0.844325003,RAB8B
Lysosomal Membrane (GO:0005765),0.534431535,0.794074654,0.655739885,SPAAR;SLC31A2;STOM;HLA-DQB2
Polymeric Cytoskeletal Fiber (GO:0099513),0.54448372,0.794074654,0.641025216,LMOD1;KIF20B;RCSD1
Voltage-Gated Potassium Channel Complex (GO:0008076),0.546349528,0.794074654,0.773392814,KCNV2
cullin-RING Ubiquitin Ligase Complex (GO:0031461),0.560252406,0.794074654,0.620326568,CDC26;KCTD5
COPII-coated ER To Golgi Transport Vesicle (GO:0030134),0.560876174,0.794074654,0.710118905,HLA-DQB2
Extrinsic Component Of Cytoplasmic Side Of Plasma Membrane (GO:0031234),0.565614749,0.794074654,0.690544621,BLK
Clathrin-Coated Vesicle (GO:0030136),0.570302424,0.794074654,0.671670467,RAB8B
Potassium Channel Complex (GO:0034705),0.584065472,0.794074654,0.618937495,KCNV2
Ficolin-1-Rich Granule (GO:0101002),0.590681792,0.794074654,0.532453433,CD93;AMPD3
Autophagosome (GO:0005776),0.592996167,0.794074654,0.586741758,AUP1
Actin-Based Cell Projection (GO:0098858),0.597389678,0.794074654,0.571455226,ACTG2
Lytic Vacuole Membrane (GO:0098852),0.598610124,0.794074654,0.498613283,SPAAR;SLC31A2;HLA-DQB2
Platelet Alpha Granule (GO:0031091),0.618659116,0.812380657,0.502257664,SERPING1
Lysosome (GO:0005764),0.631920037,0.821496048,0.423244729,SPAAR;SLC31A2;LUM;BGN;HLA-DQB2
Late Endosome (GO:0005770),0.649425918,0.835894746,0.390984693,SPAAR;SLC31A2
Nuclear Membrane (GO:0031965),0.703613203,0.896761925,0.286942446,TMC8;TOR1AIP1
Cytoplasmic Vesicle Lumen (GO:0060205),0.712494954,0.899265476,0.273328568,AMPD3
Ficolin-1-Rich Granule Lumen (GO:1904813),0.736446311,0.920557888,0.230400038,AMPD3
Mitotic Spindle (GO:0072686),0.78798755,0.972715393,0.154021203,GEM
Mitochondrial Outer Membrane (GO:0005741),0.805673727,0.972715393,0.132170112,CASP8
Azurophil Granule (GO:0042582),0.813958058,0.972715393,0.12261717,STOM
Recycling Endosome (GO:0055037),0.821890788,0.972715393,0.113858747,RAB8B
Intracellular Non-Membrane-Bounded Organelle (GO:0043232),0.833358986,0.972715393,0.139574289,RECQL4;CASP8;CCDC137;STOM;HSD17B13;AUP1;KIF20B;E2F5;RUNX3;SENP3
Cell-Cell Junction (GO:0005911),0.834327427,0.972715393,0.111596367,CNKSR1;TNFRSF25
Organelle Outer Membrane (GO:0031968),0.842011921,0.972715393,0.09326962,CASP8
Basolateral Plasma Membrane (GO:0016323),0.843724834,0.972715393,0.091620524,CA4
Endoplasmic Reticulum Membrane (GO:0005789),0.865184569,0.972715393,0.099304427,POMT1;SC5D;FMO1;AUP1;HLA-DQB2;SLC27A5
Microtubule (GO:0005874),0.865852087,0.972715393,0.071702339,KIF20B
Nucleus (GO:0005634),0.866719779,0.972715393,0.119843078,OTUB2;FOXC1;HDAC1;SP140;TAF9;STC1;TOR1AIP1;RECQL4;CECR2;SCML2;HMGN5;NXF3;NFKBIZ;PBK;KMT5A;TRMT1L;ANKRD6;BORA;NOS2;IRX5;CCDC137;STAT2;NR1H3;TRNT1;RUNX3;SENP3;BATF;MMS22L;CCNE1;CDK3;TFEC;PDCD4;SYCP3;ZNF830;KIF20B;PPIB;CENPQ;NEUROG1;PPIL4;ASF1A;ITGB3BP;OTUD3
Intracellular Membrane-Bounded Organelle (GO:0043231),0.868647583,0.972715393,0.118869716,SCML2;HMGN5;NFKBIZ;PBK;OLR1;KMT5A;ANKRD6;BORA;TRNT1;RUNX3;SENP3;MMS22L;CCNE1;TFEC;ZNF830;KIF20B;PPIB;ASF1A;ITGB3BP;PPIC;OTUB2;FOXC1;HDAC1;SP140;IDI2;TAF9;STC1;NLRC4;TOR1AIP1;RECQL4;VTN;CECR2;NXF3;E2F5;TRMT1L;NOS2;IRX5;CCDC137;STAT2;NR1H3;EPHX3;BATF;CDK3;PDCD4;SYCP3;CENPQ;NEUROG1;PPIL4;OTUD3
Cytoskeleton (GO:0005856),0.888884332,0.972715393,0.072017359,CASP8;DENND2A;STOM;CENPQ
Axon (GO:0030424),0.892160084,0.972715393,0.051181555,TNFRSF25
Mitochondrial Matrix (GO:0005759),0.897358314,0.972715393,0.05597857,THEM4;TRNT1
Spindle (GO:0005819),0.897891132,0.972715393,0.047141741,GEM
Nucleolus (GO:0005730),0.920943424,0.980687615,0.048686484,CCDC137;KIF20B;E2F5;RUNX3;SENP3
Nuclear Lumen (GO:0031981),0.925506558,0.980687615,0.045211714,CCDC137;KIF20B;E2F5;RUNX3;SENP3
Cell-Substrate Junction (GO:0030055),0.927881359,0.980687615,0.034680103,SMPX;PPIB
Early Endosome (GO:0005769),0.964699221,0.987028462,0.01069046,RCSD1
Microtubule Cytoskeleton (GO:0015630),0.975968023,0.987028462,0.006481544,KIF20B
Mitochondrial Membrane (GO:0031966),0.981056532,0.987028462,0.006424466,CASP8;NDUFB2
Mitochondrial Inner Membrane (GO:0005743),0.9823403,0.987028462,0.004380929,NDUFB2
Neuron Projection (GO:0043005),0.983881803,0.987028462,0.005286606,GHSR;TNFRSF25
Focal Adhesion (GO:0005925),0.985356221,0.987028462,0.003464423,PPIB
Organelle Inner Membrane (GO:0019866),0.987028462,0.987028462,0.002979561,NDUFB2
Chemokine Activity (GO:0008009),1.31E-04,0.020764063,102.487772,CCL24;CXCL10;CCL23;CCL8;CCL15
Chemokine Receptor Binding (GO:0042379),1.96E-04,0.020764063,89.17436006,CCL24;CXCL10;CCL23;CCL8;CCL15
CCR Chemokine Receptor Binding (GO:0048020),0.001258841,0.088958079,62.48744158,CCL24;CCL23;CCL8;CCL15
Filamin Binding (GO:0031005),0.004890312,0.25918654,123.5017745,DPYSL4;RFLNB
Chemoattractant Activity (GO:0042056),0.00622357,0.263879355,44.36922963,CXCL10;FGF7;CCL15
Cytokine Activity (GO:0005125),0.012697506,0.426035473,14.29351564,CXCL10;CCL24;CCL23;CCL8;GDF6;CCL15
RNA Polymerase Binding (GO:0070063),0.014067209,0.426035473,52.76837358,STOM;PPIB
Deaminase Activity (GO:0019239),0.019242788,0.437074004,40.73650714,ADAL;GNPDA1
Cysteine-Type Peptidase Activity (GO:0008234),0.019814538,0.437074004,13.19606591,OTUB2;CASP8;SENP3;TANK;OTUD3
Ephrin Receptor Binding (GO:0046875),0.021119692,0.437074004,37.68140404,EFNB1;EFNA4
Cyclosporin A Binding (GO:0016018),0.025090239,0.437074004,32.5668692,PPIB;PPIC
Peptidase Activator Activity (GO:0016504),0.027180375,0.437074004,30.41005329,NLRC4;TANK
Epidermal Growth Factor Receptor Binding (GO:0005154),0.029338132,0.437074004,28.47008508,EPGN;EFEMP1
N-methyltransferase Activity (GO:0008170),0.03384981,0.437074004,25.12820307,KMT5A;TRMT1L
"Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, NAD(P)H As One Donor, And Incorporation Of One Atom Of Oxygen (GO:0016709)",0.03384981,0.437074004,25.12820307,NOS2;FMO1
Adenyl Nucleotide Binding (GO:0030554),0.043612506,0.437074004,20.03688473,HPGD;NOS2
Four-Way Junction Helicase Activity (GO:0009378),0.052611638,0.437074004,68.05075155,RECQL4
G Protein-Coupled Receptor Kinase Activity (GO:0004703),0.052611638,0.437074004,68.05075155,GRK4
Alkaline Phosphatase Activity (GO:0004035),0.052611638,0.437074004,68.05075155,CILP
Annealing Activity (GO:0140666),0.052611638,0.437074004,68.05075155,RECQL4
deSUMOylase Activity (GO:0016929),0.052611638,0.437074004,68.05075155,SENP3
Dihydropyrimidinase Activity (GO:0004157),0.052611638,0.437074004,68.05075155,DPYSL4
Nucleotide Receptor Activity (GO:0016502),0.062798587,0.437074004,51.16591868,P2RX3
Cell-Matrix Adhesion Mediator Activity (GO:0098634),0.062798587,0.437074004,51.16591868,ITGA10
Ether Hydrolase Activity (GO:0016803),0.062798587,0.437074004,51.16591868,EPHX3
Extracellularly ATP-gated Monoatomic Cation Channel Activity (GO:0004931),0.062798587,0.437074004,51.16591868,P2RX3
ATP-gated Ion Channel Activity (GO:0035381),0.072876506,0.437074004,40.34344465,P2RX3
Oxidized DNA Binding (GO:0032356),0.072876506,0.437074004,40.34344465,RECQL4
"Oxidoreductase Activity, Acting On Paired Donors, With Oxidation Of A Pair Of Donors Resulting In The Reduction Of Molecular Oxygen To Two Molecules Of Water (GO:0016717)",0.072876506,0.437074004,40.34344465,SC5D
Arginine Binding (GO:0034618),0.072876506,0.437074004,40.34344465,NOS2
Bubble DNA Binding (GO:0000405),0.072876506,0.437074004,40.34344465,RECQL4
Retinal Dehydrogenase Activity (GO:0001758),0.072876506,0.437074004,40.34344465,ALDH8A1
Transcription Corepressor Binding (GO:0001222),0.074841197,0.437074004,12.01565186,HDAC1;RUNX3
Tumor Necrosis Factor Receptor Activity (GO:0005031),0.082846554,0.437074004,32.88541572,TNFRSF25
palmitoyl-CoA Hydrolase Activity (GO:0016290),0.082846554,0.437074004,32.88541572,THEM4
Cysteine-Type Deubiquitinase Activity (GO:0004843),0.088951615,0.437074004,7.09679623,OTUB2;TANK;OTUD3
MHC Class II Receptor Activity (GO:0032395),0.092709881,0.437074004,27.47385974,HLA-DQB2
Oxidized Purine DNA Binding (GO:0032357),0.092709881,0.437074004,27.47385974,RECQL4
Adenosine Deaminase Activity (GO:0004000),0.092709881,0.437074004,27.47385974,ADAL
Cytidylyltransferase Activity (GO:0070567),0.092709881,0.437074004,27.47385974,TRNT1
FMN Binding (GO:0010181),0.102467625,0.437074004,23.39244501,NOS2
Phospholipase Activator Activity (GO:0016004),0.102467625,0.437074004,23.39244501,CCL8
Platelet-Derived Growth Factor Binding (GO:0048407),0.102467625,0.437074004,23.39244501,COL3A1
Metal Ion Binding (GO:0046872),0.110412555,0.437074004,3.623880761,COMP;CLEC4A;CLEC3B;MYL7;C1R;TSSK1B;PCDHA4;NLRC4;GEM
tRNA (Guanine) Methyltransferase Activity (GO:0016423),0.112120909,0.437074004,20.22019115,TRMT1L
C2H2 Zinc Finger Domain Binding (GO:0070742),0.112120909,0.437074004,20.22019115,TAF9
Mechanosensitive Monoatomic Ion Channel Activity (GO:0008381),0.112120909,0.437074004,20.22019115,TMC8
Toll-like Receptor Binding (GO:0035325),0.112120909,0.437074004,20.22019115,TLR1
Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0097153),0.112120909,0.437074004,20.22019115,CASP8
Death Receptor Activity (GO:0005035),0.112120909,0.437074004,20.22019115,TNFRSF25
CoA-ligase Activity (GO:0016405),0.121670846,0.437074004,17.69441918,SLC27A5
"Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Cyclic Amides (GO:0016812)",0.121670846,0.437074004,17.69441918,DPYSL4
"Intramolecular Oxidoreductase Activity, Transposing C=C Bonds (GO:0016863)",0.121670846,0.437074004,17.69441918,IDI2
Lipase Activator Activity (GO:0060229),0.121670846,0.437074004,17.69441918,CCL8
NAD+ Binding (GO:0070403),0.121670846,0.437074004,17.69441918,HPGD
RNA Polymerase II Core Promoter Sequence-Specific DNA Binding (GO:0000979),0.121670846,0.437074004,17.69441918,HDAC1
Acid-Thiol Ligase Activity (GO:0016878),0.121670846,0.437074004,17.69441918,SLC27A5
poly(A)-specific Ribonuclease Activity (GO:0004535),0.121670846,0.437074004,17.69441918,TOE1
Deubiquitinase Activity (GO:0101005),0.122297407,0.437074004,5.3185763,OTUB2;TANK;OTUD3
Receptor Ligand Activity (GO:0048018),0.130454495,0.437074004,3.637515229,CCL24;CXCL10;EPGN;FGF7;GDF6;CCL15
"Oxidoreductase Activity, Acting On The CH-NH Group Of Donors, NAD Or NADP As Acceptor (GO:0016646)",0.131118539,0.437074004,15.64325718,NOXRED1
Carbonate Dehydratase Activity (GO:0004089),0.131118539,0.437074004,15.64325718,CA4
Caspase Binding (GO:0089720),0.131118539,0.437074004,15.64325718,NLRC4
3'-5' DNA Helicase Activity (GO:0043138),0.140465076,0.437074004,13.94982397,RECQL4
Transmembrane-Ephrin Receptor Activity (GO:0005005),0.140465076,0.437074004,13.94982397,EFNA4
Acetylgalactosaminyltransferase Activity (GO:0008376),0.140465076,0.437074004,13.94982397,B4GALNT2
Purinergic Nucleotide Receptor Activity (GO:0001614),0.140465076,0.437074004,13.94982397,P2RX3
Endopeptidase Activator Activity (GO:0061133),0.140465076,0.437074004,13.94982397,NLRC4
Purine Ribonucleoside Triphosphate Binding (GO:0035639),0.142255218,0.437074004,3.110839419,P2RX3;TSSK1B;RAB39A;GTPBP10;TRNT1;NLRC4;RUNX3;GEM
Ephrin Receptor Activity (GO:0005003),0.149711535,0.453090667,12.53204855,EFNA4
Protease Binding (GO:0002020),0.151742629,0.453090667,4.300489277,COMP;COL3A1;NLRC4
CXCR Chemokine Receptor Binding (GO:0045236),0.158858983,0.461343896,11.33072509,CXCL10
Ubiquitin-Protein Transferase Activator Activity (GO:0097027),0.158858983,0.461343896,11.33072509,EFNB1
GDP Binding (GO:0019003),0.162165248,0.464581521,5.182149406,GEM;RAB8B
"Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Cyclic Amidines (GO:0016814)",0.167908476,0.474420727,10.30214459,ADAL
Calcium Ion Binding (GO:0005509),0.170075355,0.474420727,2.908563193,COMP;CLEC4A;CLEC3B;MYL7;C1R;PCDHA4
5'-3' RNA Polymerase Activity (GO:0034062),0.176861056,0.479414837,9.413387102,TRNT1
Mannose Binding (GO:0005537),0.176861056,0.479414837,9.413387102,CLEC4A
ATP Binding (GO:0005524),0.182494913,0.479414837,2.8839811,P2RX3;TSSK1B;TRNT1;NLRC4;RUNX3
ATPase Binding (GO:0051117),0.185165077,0.479414837,4.396986007,TAF9;TOR1AIP1
Histone Methyltransferase Activity (GO:0042054),0.185717758,0.479414837,8.639221677,KMT5A
DNA Polymerase Binding (GO:0070182),0.185717758,0.479414837,8.639221677,FANCI
WW Domain Binding (GO:0050699),0.194479604,0.479414837,7.960010232,KIF20B
acyl-CoA Hydrolase Activity (GO:0047617),0.194479604,0.479414837,7.960010232,THEM4
"Oxidoreductase Activity, Acting On The Aldehyde Or Oxo Group Of Donors, NAD Or NADP As Acceptor (GO:0016620)",0.194479604,0.479414837,7.960010232,ALDH8A1
Phosphatidylinositol Phospholipase C Activity (GO:0004435),0.194479604,0.479414837,7.960010232,PLCB2
Fibroblast Growth Factor Receptor Binding (GO:0005104),0.211722758,0.499656621,6.827585083,FGF7
Ubiquitin Binding (GO:0043130),0.212526614,0.499656621,3.674009333,OTUB2;RNFT1
Mannosyltransferase Activity (GO:0000030),0.220206058,0.499656621,6.35199755,POMT1
Phospholipase C Activity (GO:0004629),0.220206058,0.499656621,6.35199755,PLCB2
Cyclin-Dependent Protein Kinase Activity (GO:0097472),0.220206058,0.499656621,6.35199755,CDK3
Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0004693),0.220206058,0.499656621,6.35199755,CDK3
Guanyl Ribonucleotide Binding (GO:0032561),0.226109082,0.499656621,2.483672793,RAB39A;GTPBP10;GEM;RAB8B
Notch Binding (GO:0005112),0.228598482,0.499656621,5.925340463,DLL3
Growth Factor Activity (GO:0008083),0.232300065,0.499656621,3.253522151,FGF7;EPGN
Protein Tyrosine Kinase Binding (GO:1990782),0.232300065,0.499656621,3.253522151,ELMO2;CD247
Magnesium Ion Binding (GO:0000287),0.233061869,0.499656621,2.662100513,TSSK1B;NLRC4;GEM
MHC Class II Protein Complex Binding (GO:0023026),0.236900999,0.499656621,5.540901865,HLA-DQB2
Lysine N-methyltransferase Activity (GO:0016278),0.236900999,0.499656621,5.540901865,KMT5A
Phosphatidylinositol-4-Phosphate Binding (GO:0070273),0.236900999,0.499656621,5.540901865,GOLPH3L
Adenyl Ribonucleotide Binding (GO:0032559),0.239713442,0.499656621,2.179270659,P2RX3;TSSK1B;TRNT1;NLRC4;RUNX3
NAD Binding (GO:0051287),0.245114569,0.499656621,5.193111011,HPGD
NF-kappaB Binding (GO:0051059),0.245114569,0.499656621,5.193111011,HDAC1
Excitatory Extracellular Ligand-Gated Monoatomic Ion Channel Activity (GO:0005231),0.245114569,0.499656621,5.193111011,P2RX3
Histone Acetyltransferase Activity (GO:0004402),0.253240138,0.511303899,4.877309133,TAF9
Ubiquitin Conjugating Enzyme Binding (GO:0031624),0.261278647,0.519865622,4.589572853,AUP1
"Hydrolase Activity, Hydrolyzing O-glycosyl Compounds (GO:0004553)",0.269231023,0.519865622,4.326576745,CHI3L1
Metallocarboxypeptidase Activity (GO:0004181),0.269231023,0.519865622,4.326576745,CPA4
"Oxidoreductase Activity, Acting On The CH-OH Group Of Donors, NAD Or NADP As Acceptor (GO:0016616)",0.272104729,0.519865622,2.587761326,HPGD;HSD17B13
Growth Factor Receptor Binding (GO:0070851),0.276089139,0.519865622,2.531509066,EPGN;EFEMP1
Hexosyltransferase Activity (GO:0016758),0.276089139,0.519865622,2.531509066,POMT1;B4GALNT2
Single-Stranded DNA Binding (GO:0003697),0.276089139,0.519865622,2.531509066,RECQL4;MMS22L
"RNA Exonuclease Activity, Producing 5'-Phosphomonoesters (GO:0016896)",0.277098185,0.519865622,4.085485335,TOE1
Transcription Coregulator Binding (GO:0001221),0.288033763,0.526024009,2.372122553,HDAC1;RUNX3
Histone Deacetylase Binding (GO:0042826),0.288033763,0.526024009,2.372122553,HDAC1;KCTD21
Ubiquitin-Like Protein Peptidase Activity (GO:0019783),0.292580493,0.526024009,3.659627884,SENP3
Transition Metal Ion Transmembrane Transporter Activity (GO:0046915),0.300197428,0.526024009,3.470952065,SLC31A2
DNA Secondary Structure Binding (GO:0000217),0.300197428,0.526024009,3.470952065,RECQL4
NADH Dehydrogenase (Ubiquinone) Activity (GO:0008137),0.300197428,0.526024009,3.470952065,NDUFB2
Protein Kinase Regulator Activity (GO:0019887),0.303924258,0.526024009,2.179443736,CXCL10;CCNE1
3'-5'-RNA Exonuclease Activity (GO:0000175),0.307732727,0.526024009,3.296261534,TOE1
Ubiquitin-Like Protein Conjugating Enzyme Binding (GO:0044390),0.307732727,0.526024009,3.296261534,AUP1
NADH Dehydrogenase (Quinone) Activity (GO:0050136),0.307732727,0.526024009,3.296261534,NDUFB2
Nucleosomal DNA Binding (GO:0031492),0.307732727,0.526024009,3.296261534,HDAC1
Hsp90 Protein Binding (GO:0051879),0.315187262,0.526024009,3.134177325,UNC45B
NADP Binding (GO:0050661),0.315187262,0.526024009,3.134177325,NOS2
Core Promoter Sequence-Specific DNA Binding (GO:0001046),0.315187262,0.526024009,3.134177325,HDAC1
GTPase Activity (GO:0003924),0.318493193,0.526024009,1.622521193,RAB39A;GTPBP10;GEM;RAB8B
Non-Membrane Spanning Protein Tyrosine Kinase Activity (GO:0004715),0.322561892,0.526024009,2.983489971,BLK
Amino Acid Binding (GO:0016597),0.322561892,0.526024009,2.983489971,NOS2
Phosphatidylinositol Phosphate Binding (GO:1901981),0.327633295,0.527042941,1.926892106,GOLPH3L;RCSD1
