Term,P-value,Adjusted P-value,Combined Score,Genes
COPII-coated ER To Golgi Transport Vesicle (GO:0030134),0.181803307,0.791383202,3.158834262,GRIA1;HLA-DRB5;HLA-DRB1;HLA-DPA1
Endocytic Vesicle Membrane (GO:0030666),0.184200624,0.791383202,2.601094314,GRIA1;GRIA2;HLA-DRB5;AP2B1;KIAA0319;HLA-DRB1;HLA-DPA1
Cytoskeleton Of Presynaptic Active Zone (GO:0048788),0.187366223,0.791383202,9.292663267,PCLO
Death-Inducing Signaling Complex (GO:0031264),0.187366223,0.791383202,9.292663267,CFLAR
Dendritic Spine Membrane (GO:0032591),0.187366223,0.791383202,9.292663267,GRIA1
Voltage-Gated Sodium Channel Complex (GO:0001518),0.187366223,0.791383202,9.292663267,SCN3B
Cell Projection Membrane (GO:0031253),0.193101064,0.791383202,2.743174883,SLC12A2;HHIP;CASK;PDZK1;SLC38A4
Asymmetric Synapse (GO:0032279),0.193832964,0.791383202,2.5868668,ARHGAP44;GRIA1;GRIA2;SLC4A8;DTNBP1;KALRN
Dendrite Membrane (GO:0032590),0.196477631,0.791383202,4.170174171,GRIA1;KCNC3
Cation Channel Complex (GO:0034703),0.201283614,0.791383202,3.205970341,TRPC5;PDE4D;CALM2
Exocytic Vesicle Membrane (GO:0099501),0.201283614,0.791383202,3.205970341,DTNBP1;SLC18B1;SYN2
Myofibril (GO:0030016),0.207208829,0.791383202,3.884285598,TMOD1;CAPN3
Synaptic Vesicle Membrane (GO:0030672),0.208857848,0.791383202,3.070522814,DTNBP1;SLC18B1;SYN2
BLOC-1 Complex (GO:0031083),0.211103404,0.791383202,7.397426685,DTNBP1
Junctional Sarcoplasmic Reticulum Membrane (GO:0014701),0.211103404,0.791383202,7.397426685,JPH3
Perineuronal Net (GO:0072534),0.211103404,0.791383202,7.397426685,HAPLN1
Intercalated Disc (GO:0014704),0.228836708,0.791383202,3.38795026,PAK1;PGM5
Basolateral Plasma Membrane (GO:0016323),0.233959305,0.791383202,2.068724655,SLC38A1;SLC13A3;CADM1;CASK;BEST1;SLC26A5;AQP7P3
Perisynaptic Extracellular Matrix (GO:0098966),0.234148371,0.791383202,6.04128222,HAPLN1
post-mRNA Release Spliceosomal Complex (GO:0071014),0.234148371,0.791383202,6.04128222,GCFC2
Apical Dendrite (GO:0097440),0.234148371,0.791383202,6.04128222,MAP1B
Microvillus (GO:0005902),0.239728419,0.791383202,2.596055781,MYO7A;MYO1H;SLC38A4
Actin Cytoskeleton (GO:0015629),0.24952552,0.791383202,1.765960385,TMOD1;PAK1;BAIAP2L1;ONECUT2;MYO6;LANCL2;CASK;PDXP;MYO7A;MYO1H;KALRN;GAS7
Vesicle (GO:0031982),0.250031496,0.791383202,1.842286583,SLC12A2;RAB3C;EPS8L2;MYO7A;PIK3C2A;AMH;MYO1H;CALM2;EDIL3
Ionotropic Glutamate Receptor Complex (GO:0008328),0.250604681,0.791383202,2.973781827,GRIA1;GRIA2
Postsynaptic Density Membrane (GO:0098839),0.261513447,0.811593458,2.792007022,GRIA1;GRIA2
Dendrite (GO:0030425),0.26608057,0.811771231,1.699390474,ARHGAP44;GRIA1;GRIA2;SLC4A8;PAK1;MAP1B;KCNC3;SACS;HTR2B;TRAK1
Cortical Cytoskeleton (GO:0030863),0.279257068,0.836056816,2.124866585,PCLO;GYPC;LANCL2
Monoatomic Ion Channel Complex (GO:0034702),0.283330365,0.836056816,2.470532474,TRPC5;BEST1
Cul4A-RING E3 Ubiquitin Ligase Complex (GO:0031464),0.29932859,0.844853897,3.64986277,GLMN
Set1C/COMPASS Complex (GO:0048188),0.29932859,0.844853897,3.64986277,BOD1L1
Postsynaptic Specialization Membrane (GO:0099634),0.305086129,0.844853897,2.196180136,GRIA1;GRIA2
Ciliary Membrane (GO:0060170),0.305086129,0.844853897,2.196180136,HHIP;CASK
Microvillus Membrane (GO:0031528),0.319800447,0.846530596,3.162047882,SLC38A4
RISC Complex (GO:0016442),0.319800447,0.846530596,3.162047882,TNRC6A
Glial Cell Projection (GO:0097386),0.319800447,0.846530596,3.162047882,SLC4A8
trans-Golgi Network Membrane (GO:0032588),0.334503451,0.872617699,1.519934493,HLA-DRB5;MMP24;HLA-DRB1;HLA-DPA1
Voltage-Gated Potassium Channel Complex (GO:0008076),0.35945515,0.924313243,1.460105742,KCNC3;KCNMA1;KCNJ14
Platelet Alpha Granule Membrane (GO:0031092),0.377702211,0.957554901,2.160064957,PCDH7
Basement Membrane (GO:0005604),0.390306357,0.975765892,1.423432467,CASK;LOXL2
Cell-Cell Contact Zone (GO:0044291),0.400656562,0.979443646,1.35301246,PAK1;PGM5
Coated Vesicle (GO:0030135),0.407106269,0.979443646,1.180846838,SGIP1;PIK3C2A;SNAP91
GABA-A Receptor Complex (GO:1902711),0.413542873,0.979443646,1.728302119,GABRQ
Sodium Channel Complex (GO:0034706),0.413542873,0.979443646,1.728302119,SCN3B
Potassium Channel Complex (GO:0034705),0.422769225,0.981302615,1.102121106,KCNC3;KCNMA1;KCNJ14
GABA-ergic Synapse (GO:0098982),0.430682814,0.981302615,1.557132932,PCLO
Endolysosome Membrane (GO:0036020),0.430682814,0.981302615,1.557132932,AP2B1
Sarcolemma (GO:0042383),0.451081083,0.995811467,1.059617238,DTNBP1;PGM5
Postsynaptic Density (GO:0014069),0.452014946,0.995811467,0.905029422,ARHGAP44;GRIA1;GRIA2;DTNBP1;KALRN
Late Endosome Membrane (GO:0031902),0.453647446,0.995811467,0.962319108,HLA-DRB5;ATP10B;HLA-DRB1
Extracellular Membrane-Bounded Organelle (GO:0065010),0.499009269,0.999993182,0.840888704,SLC12A2;EDIL3
Excitatory Synapse (GO:0060076),0.509166023,0.999993182,0.976203242,GRIA2
Polymeric Cytoskeletal Fiber (GO:0099513),0.512170054,0.999993182,0.692783158,TMOD1;PAK1;MAP1B;MYO6;MID1;HLA-DRB1;DNM1;GAS7
Sperm Flagellum (GO:0036126),0.526450408,0.999993182,0.735872547,CFAP70;TACR2
Extracellular Vesicle (GO:1903561),0.526450408,0.999993182,0.735872547,SLC12A2;EDIL3
Caveola (GO:0005901),0.544171581,0.999993182,0.674567326,KCNMA1;CAVIN4
Sarcoplasmic Reticulum Membrane (GO:0033017),0.550970399,0.999993182,0.762493641,JPH3
Acrosomal Vesicle (GO:0001669),0.561425464,0.999993182,0.619255333,LRGUK;GLIPR1L1
Catenin Complex (GO:0016342),0.564099752,0.999993182,0.705207501,CDHR3
Condensed Nuclear Chromosome (GO:0000794),0.564099752,0.999993182,0.705207501,TTN
Endolysosome (GO:0036019),0.564099752,0.999993182,0.705207501,AP2B1
Cytoplasmic Vesicle Membrane (GO:0030659),0.586024144,0.999993182,0.516689212,GRIA1;SLC12A2;GRIA2;HLA-DRB5;SLC30A4;AP2B1;SLC18B1;SLC15A3;TLR4;HLA-DRB1;HLA-DPA1
Lysosomal Membrane (GO:0005765),0.594401562,0.999993182,0.499497342,MFSD8;HLA-DRB5;BRI3;MYO6;ATP10B;MYO7A;AP2B1;SLC15A3;HLA-DRB1;HLA-DPA1
Synaptic Membrane (GO:0097060),0.601232619,0.999993182,0.563926843,GRIA1
Lytic Vacuole Membrane (GO:0098852),0.602779109,0.999993182,0.48223989,MFSD8;HLA-DRB5;MYO6;ATP10B;MYO7A;SLC15A3;HLA-DRB1;HLA-DPA1
9+2 Motile Cilium (GO:0097729),0.610343874,0.999993182,0.48275426,CFAP70;TACR2
Recycling Endosome Membrane (GO:0055038),0.610343874,0.999993182,0.48275426,GRIA1;RAB11FIP4
Endosome Membrane (GO:0010008),0.612016803,0.999993182,0.46461727,GRIA1;HLA-DRB5;PXK;SLC30A4;ATP10B;AP2B1;SLC15A3;TLR4;RAB11FIP4;HLA-DRB1
Adherens Junction (GO:0005912),0.641547601,0.999993182,0.40403455,BAIAP2L1;CDHR3;FRMD4A;PGM5
Cul4-RING E3 Ubiquitin Ligase Complex (GO:0080008),0.645877253,0.999993182,0.427442235,GLMN
Aggresome (GO:0016235),0.645877253,0.999993182,0.427442235,ZBTB14
Autophagosome Membrane (GO:0000421),0.645877253,0.999993182,0.427442235,WDFY3
Collagen-Containing Extracellular Matrix (GO:0062023),0.652683528,0.999993182,0.39014832,GREM1;ACHE;IL7;CASK;LGALS9;ZP3;EDIL3;HAPLN1;LOXL2;CTHRC1
Cytoplasmic Stress Granule (GO:0010494),0.654992515,0.999993182,0.380059854,RBFOX1;PABPC5
Intermediate Filament Cytoskeleton (GO:0045111),0.689000784,0.999993182,0.313336003,SLC1A6;HLA-DRB1
Brush Border Membrane (GO:0031526),0.694731588,0.999993182,0.310405029,PDZK1
Cyclin-Dependent Protein Kinase Holoenzyme Complex (GO:0000307),0.694731588,0.999993182,0.310405029,CDK3
Plasma Membrane Raft (GO:0044853),0.695462095,0.999993182,0.301650545,KCNMA1;CAVIN4
P-body (GO:0000932),0.701812047,0.999993182,0.290455365,TNRC6A;TNRC6B
Autophagosome (GO:0005776),0.701812047,0.999993182,0.290455365,WDFY3;ATG14
Golgi Membrane (GO:0000139),0.705980273,0.999993182,0.305272137,SLC35B3;HLA-DRB5;HS3ST3A1;GALNT13;OSBP;ST8SIA3;MMD2;B3GALT5;HLA-DRB1;HLA-DPA1;GALNT8
Actin-Based Cell Projection (GO:0098858),0.70805162,0.999993182,0.279726632,MYO7A;MYO1H
Late Endosome (GO:0005770),0.718389854,0.999993182,0.274419486,HLA-DRB5;PXK;SLC30A4;ATP10B;HLA-DRB1
Lysosomal Lumen (GO:0043202),0.720203743,0.999993182,0.259579893,IDS;GPC4
Cortical Actin Cytoskeleton (GO:0030864),0.728923081,0.999993182,0.244345288,LANCL2
Specific Granule Membrane (GO:0035579),0.743230467,0.999993182,0.223975577,MMP24;UBR4
Microbody Lumen (GO:0031907),0.766336336,0.999993182,0.184194029,ACOT2
Peroxisomal Matrix (GO:0005782),0.766336336,0.999993182,0.184194029,ACOT2
Cell-Cell Junction (GO:0005911),0.773636717,0.999993182,0.203922075,PAK1;BAIAP2L1;CADM1;CDHR3;CASK;FRMD4A;PGM5
Endoplasmic reticulum-Golgi Intermediate Compartment Membrane (GO:0033116),0.786261613,0.999993182,0.156614479,GRIA1
Microtubule (GO:0005874),0.792459026,0.999993182,0.170483501,MAP1B;MID1;CALM2;DNM1
Azurophil Granule Membrane (GO:0035577),0.821167028,0.999993182,0.114780761,BRI3
Bounding Membrane Of Organelle (GO:0098588),0.824522008,0.999993182,0.15942699,GRIA1;SLC35B3;GRIA2;HLA-DRB5;HS3ST3A1;GALNT13;HHIP;ST8SIA3;SLC30A4;CASK;MMD2;B3GALT5;AP2B1;OSBP;SLC18B1;SLC15A3;TLR4;HLA-DRB1;HLA-DPA1;GALNT8
Vacuolar Membrane (GO:0005774),0.826404091,0.999993182,0.109156479,WDFY3
Serine/Threonine Protein Kinase Complex (GO:1902554),0.831488041,0.999993182,0.103849437,CDK3
Condensed Chromosome (GO:0000793),0.831488041,0.999993182,0.103849437,TTN
Ficolin-1-Rich Granule Membrane (GO:0101003),0.831488041,0.999993182,0.103849437,UBR4
Specific Granule Lumen (GO:0035580),0.836423348,0.999993182,0.098838663,CRACR2A
Recycling Endosome (GO:0055037),0.846978481,0.999993182,0.105875169,GRIA1;RELCH;RAB11FIP4
Specific Granule (GO:0042581),0.846978481,0.999993182,0.105875169,CRACR2A;MMP24;UBR4
Spindle Microtubule (GO:0005876),0.867157457,0.999993182,0.070605055,CALM2
Intermediate Filament (GO:0005882),0.871049641,0.999993182,0.067377497,HLA-DRB1
Vesicle Membrane (GO:0012506),0.871049641,0.999993182,0.067377497,SLC12A2
Cilium (GO:0005929),0.873635623,0.999993182,0.088716901,USP9X;HHIP;CFAP70;TOGARAM2;CASK
Cytoplasmic Side Of Plasma Membrane (GO:0009898),0.880846179,0.999993182,0.068950299,PGM5;AP2B1
Tertiary Granule Membrane (GO:0070821),0.882056293,0.999993182,0.058652089,UBR4
Motile Cilium (GO:0031514),0.885512639,0.999993182,0.05603223,CFAP70
Early Endosome (GO:0005769),0.887586287,0.999993182,0.078611833,GRIA1;NELL1;PXK;APBB2;TRAK1;KIAA0319
Bicellular Tight Junction (GO:0005923),0.909760576,0.999993182,0.039208391,FRMD4A
Secretory Granule Membrane (GO:0030667),0.913216772,0.999993182,0.054768132,MMP24;BRI3;PCDH7;UBR4;SLC18B1
Lysosome (GO:0005764),0.925007435,0.999993182,0.052127491,MFSD8;HLA-DRB5;MYO6;ATP10B;IDS;MYO7A;GPC4;SLC15A3;HLA-DRB1;HLA-DPA1
Platelet Alpha Granule (GO:0031091),0.9288797,0.999993182,0.027794,PCDH7
U2-type Spliceosomal Complex (GO:0005684),0.930965636,0.999993182,0.026644759,GCFC2
Tight Junction (GO:0070160),0.936864054,0.999993182,0.023496441,FRMD4A
Cytoskeleton (GO:0005856),0.936992101,0.999993182,0.043795024,BAIAP2L1;PCLO;ONECUT2;GYPC;MYO6;DTNBP1;CASK;PDXP;MYO7A;MYO1H;SLC1A6;KALRN
Nuclear Chromosome (GO:0000228),0.940514052,0.999993182,0.021623169,TTN
Golgi Lumen (GO:0005796),0.948743688,0.999993182,0.017609975,GPC4
Phagocytic Vesicle (GO:0045335),0.948743688,0.999993182,0.017609975,MPEG1
Vacuolar Lumen (GO:0005775),0.951130215,0.999993182,0.020853239,IDS;GPC4
Apical Junction Complex (GO:0043296),0.957132736,0.999993182,0.013821394,FRMD4A
Cytoplasmic Vesicle Lumen (GO:0060205),0.967216871,0.999993182,0.009680488,AMH
Early Endosome Membrane (GO:0031901),0.968179608,0.999993182,0.009309408,GRIA1
Ficolin-1-Rich Granule (GO:0101002),0.972486777,0.999993182,0.010131897,UBR4;AMH
Ficolin-1-Rich Granule Lumen (GO:1904813),0.974173005,0.999993182,0.007098022,AMH
Peroxisome (GO:0005777),0.978404397,0.999993182,0.00564295,ACOT2
Mitochondrial Outer Membrane (GO:0005741),0.98879923,0.999993182,0.002481551,MARCHF5
Focal Adhesion (GO:0005925),0.989118299,0.999993182,0.004707915,NELL1;CASK;PGM5;CD46;LPP
Azurophil Granule (GO:0042582),0.99006019,0.999993182,0.002143175,BRI3
Nucleolus (GO:0005730),0.990305265,0.999993182,0.005459499,ZBTB14;EN2;FBXO25;CASK;GCFC2;MYCN;S100A16;NOVA1;KLHL7;OSBP;CAPN3;WDFY3;LETMD1
Microtubule Cytoskeleton (GO:0015630),0.990753208,0.999993182,0.003616221,MAP1B;DTNBP1;MID1;DNM1
Cell-Substrate Junction (GO:0030055),0.990783537,0.999993182,0.003900746,NELL1;CASK;PGM5;CD46;LPP
Nuclear Membrane (GO:0031965),0.990884516,0.999993182,0.002684039,PAK1;MYO6
Nuclear Lumen (GO:0031981),0.99158358,0.999993182,0.00467874,ZBTB14;EN2;FBXO25;CASK;GCFC2;MYCN;S100A16;NOVA1;KLHL7;OSBP;CAPN3;WDFY3;LETMD1
Tertiary Granule (GO:0070820),0.991935363,0.999993182,0.001661082,UBR4
Mitochondrial Matrix (GO:0005759),0.993076153,0.999993182,0.002602657,BTD;NSUN3;ACOT2;MTHFS
Organelle Outer Membrane (GO:0031968),0.993649768,0.999993182,0.001244457,MARCHF5
Endoplasmic Reticulum Membrane (GO:0005789),0.993982665,0.999993182,0.003248339,GRIA1;HLA-DRB5;MYRF;ABHD4;DTNBP1;ORMDL1;HSD17B12;ATG14;JPH3;OSBP;HLA-DRB1;HLA-DPA1;MARCHF5
Endoplasmic Reticulum Lumen (GO:0005788),0.997984554,0.999993182,4.70E-04,SPP1;GPX7
Spindle (GO:0005819),0.998079447,0.999993182,3.03E-04,CALM2
Lytic Vacuole (GO:0000323),0.998698108,0.999993182,1.93E-04,IDS
Mitochondrial Inner Membrane (GO:0005743),0.998805398,0.999993182,3.20E-04,DMAC2L;COQ4;COX11
Secretory Granule Lumen (GO:0034774),0.99914965,0.999993182,1.78E-04,CRACR2A;AMH
Organelle Inner Membrane (GO:0019866),0.999410734,0.999993182,1.47E-04,DMAC2L;COQ4;COX11
Mitochondrial Membrane (GO:0031966),0.999913023,0.999993182,2.11E-05,DMAC2L;COQ4;COX11;MARCHF5
Intracellular Non-Membrane-Bounded Organelle (GO:0043232),0.99996679,0.999993182,1.35E-05,ABHD4;ZBTB14;EN2;FBXO25;CASK;GCFC2;PCLO;MYCN;S100A16;NOVA1;KLHL7;OSBP;CAPN3;WDFY3;LETMD1
Intracellular Organelle Lumen (GO:0070013),0.999981511,0.999993182,5.62E-06,BTD;NSUN3;ACOT2;SPP1;GPX7;MTHFS;GPC4;AMH
Intracellular Membrane-Bounded Organelle (GO:0043231),0.999993009,0.999993182,3.07E-06,GASK1A;TCERG1;ZCCHC12;PANK3;ONECUT2;PRDM6;HSPB8;FBXO25;SLC7A14;ZBTB20;PIK3C2A;LOXL2;DTWD1;HERC2;OSBP;SACS;PHF24;CAPN3;LGALS9;ARIH1;HLA-DPA1;SOX5;DUSP4;NCOA2;RBFOX1;CAMK1D;LMO3;PDE4D;SSUH2;PABPC5;EN2;MITF;C9ORF24;FOXP4;CFAP410;MOB3B;GCFC2;MYCN;PAX8;DMTF1;LANCL2;BIRC6;ZNF711;MAML3;CCDC82;ZNF398;SMTNL1;CDKL1;GCM1;MYRF;SATB1;RNF38;MYCBP2;TRAK1;STOX2;S100A16;SERTAD2;MYO6;APBB2;LINC-PINT;GPC4;SLC15A3;ZNF345;KIAA0319;IRX2;ZBTB14;USP9X;FABP9;DTNBP1;CLK4;CLK1;RALYL;NFIB;NOVA1;PKIA;CDK3;SYCP3;CALM2;TNRC6A
Nucleus (GO:0005634),0.999993182,0.999993182,3.15E-06,TCERG1;ZCCHC12;PANK3;ONECUT2;PRDM6;HSPB8;FBXO25;ZBTB20;LOXL2;DTWD1;HERC2;SACS;PHF24;CAPN3;LGALS9;ARIH1;SOX5;DUSP4;NCOA2;RBFOX1;CAMK1D;LMO3;PDE4D;SSUH2;PABPC5;EN2;MITF;C9ORF24;FOXP4;MOB3B;GCFC2;MYCN;PAX8;DMTF1;LANCL2;BIRC6;ZNF711;MAML3;CCDC82;ZNF398;SMTNL1;CDKL1;GCM1;MYRF;SATB1;RNF38;MYCBP2;TRAK1;STOX2;S100A16;SERTAD2;MYO6;APBB2;LINC-PINT;GPC4;ZNF345;IRX2;ZBTB14;USP9X;FABP9;DTNBP1;CLK4;CLK1;RALYL;NFIB;NOVA1;PKIA;CDK3;SYCP3;CALM2
Organic Acid:Sodium Symporter Activity (GO:0005343),0.003430092,0.767458485,71.09100455,SLC13A3;SLC38A1;SLC38A4
Transmembrane Receptor Protein Tyrosine Kinase Activator Activity (GO:0030297),0.004474977,0.767458485,60.2279951,GREM1;NRG3;ALKAL2
Protein Tyrosine Kinase Activator Activity (GO:0030296),0.00957232,0.778112823,24.86797929,ALK;GREM1;NRG3;ALKAL2
Nucleoside Monophosphate Kinase Activity (GO:0050145),0.014576149,0.778112823,28.23909864,LRGUK;CASK;CMPK2
Amino Acid:Sodium Symporter Activity (GO:0005283),0.014576149,0.778112823,28.23909864,SLC38A1;SLC1A6;SLC38A4
Peptide Transmembrane Transporter Activity (GO:1904680),0.016215255,0.778112823,54.98853261,SLC15A2;SLC15A3
Inorganic Cation Transmembrane Transporter Activity (GO:0022890),0.018403159,0.778112823,17.22971976,GRIA1;DMAC2L;SLC12A2;GRIA2
Guanylate Kinase Activity (GO:0004385),0.021206034,0.778112823,42.83839835,LRGUK;CASK
Chloride Transmembrane Transporter Activity (GO:0015108),0.021887826,0.778112823,12.78298046,SLC12A2;SLC4A8;ANO5;BEST1;SLC26A5
MHC Class II Receptor Activity (GO:0032395),0.026743739,0.778112823,34.50604699,HLA-DRB1;HLA-DPA1
Amino Acid:Monoatomic Cation Symporter Activity (GO:0005416),0.026743739,0.778112823,34.50604699,SLC38A1;SLC38A4
Glycerophospholipid Flippase Activity (GO:0140333),0.032792289,0.778112823,28.49142661,ATP8A2;ATP10B
MHC Class II Protein Complex Binding (GO:0023026),0.035362646,0.778112823,15.21280051,HLA-DRB5;HLA-DRB1;HLA-DPA1
Titin Binding (GO:0031432),0.046285698,0.778112823,20.49248431,CAPN3;CALM2
Dicarboxylic Acid Transmembrane Transporter Activity (GO:0005310),0.047258121,0.778112823,12.22386255,SLC13A3;SLC1A6;SLC26A5
Metal Ion Transmembrane Transporter Activity (GO:0046873),0.051606488,0.778112823,11.41415037,SLC12A2;SLC4A8;NIPA1
Lipid Phosphatase Activity (GO:0042577),0.053666311,0.778112823,17.7316587,PLPPR1;PLPPR5
Phosphatidate Phosphatase Activity (GO:0008195),0.053666311,0.778112823,17.7316587,PLPPR1;PLPPR5
1-Phosphatidylinositol Binding (GO:0005545),0.061429152,0.778112823,15.5024778,WDFY3;SNAP91
C4-dicarboxylate Transmembrane Transporter Activity (GO:0015556),0.061429152,0.778112823,15.5024778,SLC13A3;SLC1A6
Alanine Transmembrane Transporter Activity (GO:0022858),0.061429152,0.778112823,15.5024778,SLC38A1;SLC38A4
Solute:Inorganic Anion Antiporter Activity (GO:0005452),0.061429152,0.778112823,15.5024778,SLC4A8;SLC26A5
Transmembrane Receptor Protein Phosphatase Activity (GO:0019198),0.07798873,0.778112823,12.14978077,PTPRD;PTPRZ1
Transmembrane Receptor Protein Tyrosine Phosphatase Activity (GO:0005001),0.07798873,0.778112823,12.14978077,PTPRD;PTPRZ1
Amino Acid Transmembrane Transporter Activity (GO:0015171),0.080571182,0.778112823,6.468228908,SLC38A1;SLC7A14;SLC1A6;SLC38A4
Amyloid-Beta Binding (GO:0001540),0.081190295,0.778112823,5.667621212,GRIA1;GRIA2;CACNA1B;APBB2;TLR4
Intracellular Calcium Activated Chloride Channel Activity (GO:0005229),0.086732359,0.778112823,10.86690784,ANO5;BEST1
Carboxylic Acid Transmembrane Transporter Activity (GO:0046943),0.093432882,0.778112823,5.754919336,SLC13A3;SLC38A1;SLC7A14;SLC38A4
Phosphatase Activity (GO:0016791),0.095435316,0.778112823,5.029769562,DUSP4;NT5E;PLPPR1;PLPPR5;PDXP
Intracellular Chloride Channel Activity (GO:0061778),0.095751894,0.778112823,9.77497864,ANO5;BEST1
UDP-galactosyltransferase Activity (GO:0035250),0.105023832,0.778112823,8.837065944,UGT8;B3GALT5
"Phosphotransferase Activity, Phosphate Group As Acceptor (GO:0016776)",0.114525806,0.778112823,8.024932238,PPIP5K2;CMPK2
Solute:Proton Symporter Activity (GO:0015295),0.114525806,0.778112823,8.024932238,SLC15A2;SLC15A3
Neutral L-amino Acid Transmembrane Transporter Activity (GO:0015175),0.117107049,0.778112823,5.647162822,SLC38A1;SLC1A6;SLC38A4
Neurotransmitter Receptor Activity Involved In Regulation Of Postsynaptic Membrane Potential (GO:0099529),0.124236532,0.778112823,7.316650878,GRIA1;GRIA2
Cell-Cell Adhesion Mediator Activity (GO:0098632),0.130083069,0.778112823,5.101412436,BAIAP2L1;NRCAM;CD200
Bicarbonate Transmembrane Transporter Activity (GO:0015106),0.134135773,0.778112823,6.69496185,SLC4A8;SLC26A5
Succinate Transmembrane Transporter Activity (GO:0015141),0.137731573,0.778112823,16.50226947,SLC13A3
3-hydroxyacyl-CoA Dehydrogenase Activity (GO:0003857),0.137731573,0.778112823,16.50226947,HSD17B12
