Term,P-value,Adjusted P-value,Combined Score,Genes
Regulation Of Gene Expression By Genomic Imprinting (GO:0006349),0.002753582,0.235376191,82.06667458,DIRAS3;PRMT7;IGF2
T-Circle Formation (GO:0090656),0.002753582,0.235376191,82.06667458,SLX4;ERCC1;SLX1A
Formation Of Extrachromosomal Circular DNA (GO:0001325),0.002753582,0.235376191,82.06667458,SLX4;ERCC1;SLX1A
Telomere Maintenance Via Telomere Trimming (GO:0090737),0.002753582,0.235376191,82.06667458,SLX4;ERCC1;SLX1A
snRNA Metabolic Process (GO:0016073),0.003195875,0.246955788,43.96868053,INTS11;INTS12;MEPCE;INTS9
Innate Immune Response In Mucosa (GO:0002227),0.003195875,0.246955788,43.96868053,H2BC12;H2BC8;H2BC21;H2BC11
Transcription Initiation-Coupled Chromatin Remodeling (GO:0045815),0.003235733,0.246955788,32.18302599,SMARCB1;RBBP5;USP21;SGF29;MEN1
Epigenetic Regulation Of Gene Expression (GO:0040029),0.003429443,0.252714495,19.76149196,DIRAS3;SMARCB1;PRMT7;RBBP5;USP21;IGF2;SGF29;MEN1
Platelet Dense Granule Organization (GO:0060155),0.003814551,0.271723171,40.24498396,BLOC1S1;AP3D1;HPS6;AP3S2
Melanosome Organization (GO:0032438),0.004709056,0.316667177,27.25287099,BLOC1S5;BLOC1S1;AP3D1;AP3S2;HPS6
"mRNA Splicing, Via Spliceosome (GO:0000398)",0.004741858,0.316667177,12.46219982,AQR;SF3B2;PRMT7;HNRNPU;PRPF19;DNAJC17;PRPF4;SART1;SCNM1;PRPF6;CACTIN;DCPS;RBM10;CTNNBL1
Regulation Of Nucleic Acid-Templated Transcription (GO:1903506),0.005224693,0.338338423,9.704605253,HES6;ZNF282;CXXC1;IGF2;TULP3;YEATS4;FOXN4;AKAP17A;FOXO4;SGF29;YBX1;HIC1;SOX2;MYBBP1A;THAP7;CHEK2;CARM1;DVL1;DVL2;ZBED1;GTF2IRD1;DMAP1;MSC;TEAD2
Response To Ionizing Radiation (GO:0010212),0.005770193,0.354486553,18.10118563,MSH2;EEF1D;BRAT1;INIP;MEN1;RHNO1;CLK2
Negative Regulation Of Toll-Like Receptor Signaling Pathway (GO:0034122),0.006136801,0.354486553,49.62916015,LRRC14;GPR108;GPS2
Secretory Granule Organization (GO:0033363),0.006144662,0.354486553,31.5376129,BLOC1S1;AP3D1;AP3S2;HPS6
Negative Regulation Of Telomere Maintenance Via Telomere Lengthening (GO:1904357),0.006144662,0.354486553,31.5376129,SLX4;TINF2;HNRNPU;SLX1A
RNA Polymerase II Preinitiation Complex Assembly (GO:0051123),0.00647291,0.354486553,19.70232421,MED22;GTF2A2;MED20;MED9;TAF4B;TAF6
post-Golgi Vesicle-Mediated Transport (GO:0006892),0.00647291,0.354486553,19.70232421,AP4M1;GGA1;GGA3;AP3D1;CCDC22;CORO7
Negative Regulation Of Signal Transduction (GO:0009968),0.007001599,0.354486553,10.37057231,LRRC14;PTGIR;GPR108;NXN;GPS2;TSC2;TULP3;WWP2;KIF7;CXXC4;HIC1;DCN;HGS;CACTIN;APPL1;SLC27A4
DNA Repair (GO:0006281),0.007089066,0.354486553,10.07370215,MUS81;RFC5;WDHD1;UPF1;KMT5C;NUDT1;XRCC1;INIP;POLA1;SLX4;MSH2;NTHL1;CHEK2;ERCC1;SLX1A;RHNO1;MEN1
Histone H3-K4 Methylation (GO:0051568),0.007092475,0.354486553,29.25451916,RBBP5;CXXC1;WDR5B;MEN1
Negative Regulation Of DNA Recombination (GO:0045910),0.007340912,0.354486553,22.21296764,H1-4;PARPBP;MSH2;H1-10;H1-2
Wnt Signaling Pathway (GO:0016055),0.007733127,0.354486553,16.07996686,FRAT1;WNT2B;NXN;DVL1;DVL2;PLCG2;CD24
Lysosome Localization (GO:0032418),0.008131903,0.354486553,21.1614781,KLC2;BLOC1S1;PLEKHM2;HPS6;BORCS8
Peptidyl-Lysine Methylation (GO:0018022),0.008131945,0.354486553,27.207836,EHMT2;EHMT1;ATPSCKMT;METTL21A
Transcription Preinitiation Complex Assembly (GO:0070897),0.008332897,0.354486553,17.65287126,MED22;GTF2A2;MED20;MED9;TAF4B;TAF6
DNA Double-Strand Break Processing Involved In Repair Via Single-Strand Annealing (GO:0010792),0.008459904,0.354486553,103.2002029,SLX4;SLX1A
Regulation Of T-Circle Formation (GO:1904429),0.008459904,0.354486553,103.2002029,SLX4;SLX1A
Response To DNA Damage Checkpoint Signaling (GO:0072423),0.008459904,0.354486553,103.2002029,MUS81;SLX4
Double-Strand Break Repair Via Single-Strand Annealing (GO:0045002),0.008459904,0.354486553,103.2002029,SLX4;SLX1A
protein-DNA Complex Organization (GO:0071824),0.009030229,0.369528553,17.03424186,SOX2;HDAC11;EHMT1;HNRNPU;LRWD1;HMGN2
Mucosal Immune Response (GO:0002385),0.009266455,0.369528553,25.36519108,H2BC12;H2BC8;H2BC21;H2BC11
Negative Regulation Of Telomere Maintenance (GO:0032205),0.009337642,0.369528553,37.94544565,SLX4;ERCC1;SLX1A
Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),0.010433185,0.405376659,6.903188485,RNF10;GTF2A2;SMARCB1;ATF6B;MEPCE;HNRNPU;GPS2;FOXO4;YBX1;ASCL1;MEOX2;PTMS;MED12;SOX2;DVL1;HSF1;DVL2;ZNF746;ZBED1;IKBKG;IER2;MEN1;PELP1;IGF2;MED9;ZNF76;FOXN4;OLIG1;OLIG2;SUPT5H;DCN;MED22;PRPF6;MYBBP1A;IRF3;KANSL3;MED20;IRF7;TAF4B;TAF6;ARHGEF2
Cellular Response To Hepatocyte Growth Factor Stimulus (GO:0035729),0.012438808,0.435766109,71.14462561,BCAR1;APPL1
Clathrin-Coated Vesicle Cargo Loading (GO:0035652),0.012438808,0.435766109,71.14462561,AP3D1;AP3S2
"Clathrin-Coated Vesicle Cargo Loading, AP-3-mediated (GO:0035654)",0.012438808,0.435766109,71.14462561,AP3D1;AP3S2
Response To Hepatocyte Growth Factor (GO:0035728),0.012438808,0.435766109,71.14462561,BCAR1;APPL1
Synaptic Vesicle Budding From Presynaptic Endocytic Zone Membrane (GO:0016185),0.012438808,0.435766109,71.14462561,AP3D1;AP3S2
"Neurotransmitter Receptor Transport, Endosome To Postsynaptic Membrane (GO:0098887)",0.012438808,0.435766109,71.14462561,GRIPAP1;SCRIB
Regulation Of Telomere Maintenance Via Telomere Lengthening (GO:1904356),0.013348949,0.445729747,30.03450595,SLX4;TINF2;SLX1A
"mRNA Cis Splicing, Via Spliceosome (GO:0045292)",0.013348949,0.445729747,30.03450595,SART1;CACTIN;DCPS
Positive Chemotaxis (GO:0050918),0.013348949,0.445729747,30.03450595,TSC2;SCRIB;MEN1
Intrinsic Apoptotic Signaling Pathway (GO:0097193),0.01373519,0.451570772,11.53068969,BAG6;MYBBP1A;CHEK2;HTRA2;CIDEB;TRIB3;CD24;HIC1
Neural Tube Closure (GO:0001843),0.014815512,0.479708313,19.5581075,DVL1;DVL2;TSC2;SCRIB
Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:0008630),0.015373685,0.485247766,15.43414769,BAG6;CHEK2;HTRA2;CIDEB;HIC1
Melanosome Assembly (GO:1903232),0.015667803,0.485247766,26.99059215,AP3D1;HPS6;AP3S2
"Protein Localization To Chromosome, Centromeric Region (GO:0071459)",0.015667803,0.485247766,26.99059215,H2AC8;H4C9;H2BC11
Regulation Of G0 To G1 Transition (GO:0070316),0.016468885,0.492973899,18.40842335,SMARCB1;BCL7B;FOXO4;RHNO1
Telomeric D-loop Disassembly (GO:0061820),0.017070692,0.492973899,52.80619193,SLX4;SLX1A
Negative Regulation Of Muscle Cell Differentiation (GO:0051148),0.017070692,0.492973899,52.80619193,IGF2;FOXO4
"Neurotransmitter Receptor Transport, Endosome To Plasma Membrane (GO:0099639)",0.017070692,0.492973899,52.80619193,GRIPAP1;SCRIB
Positive Regulation Of Neuron Projection Arborization (GO:0150012),0.017070692,0.492973899,52.80619193,DVL1;DVL2
snRNA Processing (GO:0016180),0.018198576,0.512691846,24.39079435,INTS11;INTS12;INTS9
Negative Regulation Of JNK Cascade (GO:0046329),0.018233309,0.512691846,17.35285595,DUSP10;MECOM;GPS2;MEN1
Ribosome Biogenesis (GO:0042254),0.018668143,0.518101569,8.960016163,TBL3;MRPS12;CINP;DHX37;C1ORF131;DDX54;NOC4L;PWP2;GLUL;PELP1
Negative Regulation Of Protein Localization To Cell Periphery (GO:1904376),0.020942576,0.554450324,22.15019731,SAPCD2;NUMB;PPP2R5A
DNA Replication (GO:0006260),0.022222849,0.554450324,11.09507929,RFC5;UPF1;WDHD1;POLA1;PTMS;POLG
Anoikis (GO:0043276),0.022312928,0.554450324,41.10781019,TSC2;IKBKG
Regulation Of Protein ADP-ribosylation (GO:0010835),0.022312928,0.554450324,41.10781019,TINF2;XRCC1
Endosome To Melanosome Transport (GO:0035646),0.022312928,0.554450324,41.10781019,BLOC1S5;AP3D1
Endosome To Pigment Granule Transport (GO:0043485),0.022312928,0.554450324,41.10781019,BLOC1S5;AP3D1
Establishment Of Protein Localization To Chromatin (GO:0071169),0.022312928,0.554450324,41.10781019,LRWD1;SGF29
Leptin-Mediated Signaling Pathway (GO:0033210),0.022312928,0.554450324,41.10781019,UGCG;MKKS
Positive Regulation Of Ligase Activity (GO:0051351),0.022312928,0.554450324,41.10781019,ATPSCKMT;XRCC1
Regulation Of Lipid Metabolic Process (GO:0019216),0.022590634,0.554898688,12.57838185,PLCG2;GPS2;CIDEB;ABCA7;ADIPOR1
Peptidyl-Lysine Modification (GO:0018205),0.022948914,0.557293512,9.890801821,CBX4;BLOC1S1;SUMO3;SIRT4;ZBED1;ATPSCKMT;METTL21A
Positive Regulation Of Smoothened Signaling Pathway (GO:0045880),0.023900365,0.56238348,20.20371427,TEDC1;KIF7;TXNDC15
Spliceosomal snRNP Assembly (GO:0000387),0.024211175,0.56238348,14.65598214,SART1;PRMT7;PRPF6;PRPF19
Negative Regulation Of Stress-Activated MAPK Cascade (GO:0032873),0.024211175,0.56238348,14.65598214,DUSP10;MECOM;GPS2;MEN1
Negative Regulation Of Transferase Activity (GO:0051348),0.024211175,0.56238348,14.65598214,TINF2;HNRNPU;XRCC1;MEN1
"Positive Regulation Of DNA-templated Transcription, Elongation (GO:0032786)",0.026000645,0.580247004,11.63565123,MED22;SCAF8;MED20;MED9;SUPT5H
Regulation Of Telomere Maintenance (GO:0032204),0.026437047,0.580247004,13.88797165,UPF1;SLX4;ERCC1;TINF2
Heart Looping (GO:0001947),0.026437047,0.580247004,13.88797165,MKKS;DVL1;DVL2;FOXN4
Transcription Initiation At RNA Polymerase II Promoter (GO:0006367),0.02649949,0.580247004,10.12699484,MED22;GTF2A2;MED20;MED9;TAF4B;TAF6
snRNA 3'-End Processing (GO:0034472),0.027071815,0.580247004,18.50069002,INTS12;INTS1;INTS9
Golgi Inheritance (GO:0048313),0.028124853,0.580247004,33.08856871,STK25;VRK1
Regulation Of Histone Methylation (GO:0031060),0.028124853,0.580247004,33.08856871,EHMT2;EHMT1
Telomeric Loop Disassembly (GO:0090657),0.028124853,0.580247004,33.08856871,SLX4;SLX1A
Neurotransmitter Receptor Transport To Postsynaptic Membrane (GO:0098969),0.028124853,0.580247004,33.08856871,GRIPAP1;SCRIB
Peptidyl-Lysine Dimethylation (GO:0018027),0.028124853,0.580247004,33.08856871,EHMT2;EHMT1
Protein Localization To Nuclear Envelope (GO:0090435),0.028124853,0.580247004,33.08856871,NUP54;LMNB2
Anterograde Axonal Transport (GO:0008089),0.028781555,0.580247004,13.17496033,BLOC1S5;BLOC1S1;AP3D1;AP3S2
Axonal Transport (GO:0098930),0.028781555,0.580247004,13.17496033,BLOC1S5;BLOC1S1;AP3D1;AP3S2
Organelle Transport Along Microtubule (GO:0072384),0.028781555,0.580247004,13.17496033,BLOC1S1;MAP1S;BORCS8;PEX14
Cell-Cell Signaling By Wnt (GO:0198738),0.030456163,0.605080503,17.00116303,NXN;PLCG2;CD24
Positive Regulation Of DNA-templated Transcription (GO:0045893),0.030783281,0.605080503,4.719888214,RNF10;SMARCB1;HNRNPU;ILK;YEATS4;SGF29;YBX1;MEOX2;PTMS;MED12;SOX2;MECOM;CHEK2;IKBKG;IER2;TEAD2;MEN1;PELP1;MED9;OLIG1;OLIG2;DCN;MED22;PRPF6;PSRC1;IRF3;IRF7;ARHGEF2;GTF2A2;ATF6B;CXXC1;GPS2;FOXO4;ASCL1;SCAF8;DVL1;HSF1;DVL2;ZNF746;ZBED1;DMAP1;IGF2;ZNF76;FOXN4;SUPT5H;MYBBP1A;KANSL3;CARM1;TAF6
ncRNA Processing (GO:0034470),0.030862787,0.605080503,8.523741343,INTS11;INTS12;INTS1;DDX54;NOC4L;INTS9;PELP1
Chordate Embryonic Development (GO:0043009),0.031703547,0.615913462,10.39050207,FUT8;ALDH1A2;DVL1;IGF2;ZNF358
CRD-mediated mRNA Stabilization (GO:0070934),0.034467684,0.657655727,27.30229092,HNRNPU;YBX1
Hematopoietic Stem Cell Proliferation (GO:0071425),0.034467684,0.657655727,27.30229092,WNT2B;MECOM
DNA Recombination (GO:0006310),0.036534953,0.676324761,11.31724926,ENDOG;MSH2;ERCC1;RHNO1
Determination Of Heart Left/Right Asymmetry (GO:0061371),0.036534953,0.676324761,11.31724926,MKKS;DVL1;DVL2;FOXN4
Embryonic Heart Tube Morphogenesis (GO:0003143),0.036534953,0.676324761,11.31724926,MKKS;DVL1;DVL2;FOXN4
Protein Localization (GO:0008104),0.03671206,0.676324761,5.500712588,ACD;AP3D1;TSC2;HPS6;CPLANE2;PRPF19;PEX14;EHD1;AP4M1;GGA1;GGA3;HOOK2;HGS;CROCC;SNX15;ARHGEF2;ARF6
Negative Regulation Of Kinase Activity (GO:0033673),0.038131782,0.696475361,9.315629815,DVL1;HNRNPU;PPP2R5A;TSC2;TRIB3
Vesicle-Mediated Transport To The Plasma Membrane (GO:0098876),0.038506214,0.697354068,8.255774284,EHD1;GGA1;GGA3;HGS;CCDC22;ARF6
Ribosomal Small Subunit Biogenesis (GO:0042274),0.04046249,0.706353129,8.025510851,TBL3;MRPS12;DHX37;C1ORF131;LOC102724159;PWP2
Positive Regulation Of Double-Strand Break Repair (GO:2000781),0.04046249,0.706353129,8.025510851,SMARCB1;KMT5C;BCL7B;YEATS4;DMAP1;HDGFL2
Regulation Of Endosome Size (GO:0051036),0.041304449,0.706353129,22.96356338,BLOC1S1;BORCS8
"Negative Regulation Of Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:1900152)",0.041304449,0.706353129,22.96356338,HNRNPU;YBX1
Negative Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway (GO:0010642),0.041304449,0.706353129,22.96356338,PTGIR;HGS
Presynapse Organization (GO:0099172),0.041304449,0.706353129,22.96356338,NLGN4Y;DVL1
Protein Localization To Cell Surface (GO:0034394),0.041870469,0.706353129,13.43382177,GGA1;GGA3;ARF6
Protein Targeting To Lysosome (GO:0006622),0.041870469,0.706353129,13.43382177,AP4M1;GGA3;HGS
Negative Regulation Of Immune System Process (GO:0002683),0.04230847,0.706353129,10.27368926,LRRC14;GPR108;GPS2;CACTIN
Regulation Of DNA Recombination (GO:0000018),0.04230847,0.706353129,10.27368926,H1-4;MSH2;H1-10;H1-2
Positive Regulation Of Macroautophagy (GO:0016239),0.042828521,0.709492636,8.678935639,RNF31;TSC2;IKBKG;SUPT5H;DCN
Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844),0.045301575,0.737599041,8.381786621,H2BC12;H2BC8;H2BC21;H2BC11;HMGN2
"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)",0.045338443,0.737599041,5.931199168,PRPF4;SART1;AQR;SF3B2;PRPF6;HNRNPU;PRPF19;CACTIN;RBM10;CTNNBL1
Circulatory System Development (GO:0072359),0.045560633,0.737599041,6.488447893,MKKS;PDLIM3;NXN;DVL1;DVL2;TSC2;BORCS8;FGF12
Cell Surface Receptor Signaling Pathway Involved In Cell-Cell Signaling (GO:1905114),0.04608779,0.740523368,12.48408019,NXN;PLCG2;CD24
UV-damage Excision Repair (GO:0070914),0.048599908,0.769318542,19.61135497,POLA1;ERCC1
Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway (GO:0010640),0.048599908,0.769318542,19.61135497,PTGIR;HGS
Primary Neural Tube Formation (GO:0014020),0.050506356,0.784516022,11.62755509,DVL2;TSC2;SCRIB
Cellular Component Assembly (GO:0022607),0.050728413,0.784516022,5.119720913,NLGN4Y;ACD;TINF2;PEX14;BAG6;STK25;GORASP2;HSF1;DVL1;PLS3;TLCD2;IKBKG;TEAD2
Insulin Receptor Signaling Pathway (GO:0008286),0.051876768,0.784516022,8.939460238,IGF2;FOXO4;BCAR1;APPL1
Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050730),0.053509857,0.784516022,6.800758987,BST1;TNK2;PLCG2;IGF2;CSPG4;ARHGEF2
Regulation Of Establishment Of Planar Polarity (GO:0090175),0.055122574,0.784516022,10.85227068,SAPCD2;DVL1;DVL2
Tube Closure (GO:0060606),0.055122574,0.784516022,10.85227068,DVL2;TSC2;SCRIB
Regulation Of RNA Metabolic Process (GO:0051252),0.055905404,0.784516022,6.619878793,HNRNPL;SGF29;AKAP17A;HNRNPLL;RBM12;CLK2
DNA-templated DNA Replication (GO:0006261),0.056030468,0.784516022,7.316654203,RFC5;WDHD1;POLA1;LRWD1;POLG
Cellular Modified Amino Acid Catabolic Process (GO:0042219),0.056320485,0.784516022,16.95843033,GOT2;SARDH
Cellular Response To Arsenic-Containing Substance (GO:0071243),0.056320485,0.784516022,16.95843033,HSF1;MKNK2
"Endonucleolytic Cleavage Of Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)",0.056320485,0.784516022,16.95843033,TBL3;KRI1
Spliceosomal tri-snRNP Complex Assembly (GO:0000244),0.056320485,0.784516022,16.95843033,PRPF6;PRPF19
Glutamine Metabolic Process (GO:0006541),0.056320485,0.784516022,16.95843033,SIRT4;GLUL
Immune Response-Regulating Cell Surface Receptor Signaling Pathway (GO:0002768),0.056320485,0.784516022,16.95843033,CD24;MICB
Mitochondrial DNA Metabolic Process (GO:0032042),0.056320485,0.784516022,16.95843033,ENDOG;POLG
mRNA Processing (GO:0006397),0.058563745,0.784516022,5.011548439,PRPF4;SART1;ALKBH5;AQR;SF3B2;PRPF6;HNRNPU;PRPF19;CACTIN;RBM10;CTNNBL1
Antibacterial Humoral Response (GO:0019731),0.058856649,0.784516022,8.17687544,H2BC12;H2BC8;H2BC21;H2BC11
Sensory Organ Development (GO:0007423),0.058922233,0.784516022,7.077926791,SOX2;MAB21L2;OLIG1;OLIG2;ASCL1
Negative Regulation Of Epithelial Cell Proliferation (GO:0050680),0.058922233,0.784516022,7.077926791,SOX2;DUSP10;TNMD;TINF2;MEN1
Regulation Of Cilium Assembly (GO:1902017),0.061897693,0.784516022,6.849051958,TCHP;PPP1R35;CROCC;TBC1D7;TBC1D2B
Ribosome Assembly (GO:0042255),0.062524826,0.784516022,7.827983074,TRAF7;DHX37;LOC102724159;PWP2
2-Oxoglutarate Metabolic Process (GO:0006103),0.0644342,0.784516022,14.81718029,GOT2;DLST
Regulation Of Neuron Projection Arborization (GO:0150011),0.0644342,0.784516022,14.81718029,DVL1;DVL2
Regulation Of Vesicle Size (GO:0097494),0.0644342,0.784516022,14.81718029,BLOC1S1;BORCS8
Resolution Of Meiotic Recombination Intermediates (GO:0000712),0.0644342,0.784516022,14.81718029,MUS81;SLX4
Establishment Of Protein Localization To Chromosome (GO:0070199),0.0644342,0.784516022,14.81718029,LRWD1;SGF29
Mitotic intra-S DNA Damage Checkpoint Signaling (GO:0031573),0.0644342,0.784516022,14.81718029,MUS81;CHEK2
Mitotic Recombination (GO:0006312),0.0644342,0.784516022,14.81718029,MSH2;ERCC1
Negative Regulation Of Cilium Assembly (GO:1902018),0.0644342,0.784516022,14.81718029,TCHP;TBC1D7
Positive Regulation Of Cytoplasmic Translation (GO:2000767),0.0644342,0.784516022,14.81718029,HNRNPU;YBX1
Ribonucleoprotein Complex Biogenesis (GO:0022613),0.06487436,0.784516022,5.610938279,TBL3;MRPS12;CINP;DHX37;C1ORF131;PWP2;GLUL
Negative Regulation Of DNA Biosynthetic Process (GO:2000279),0.064931967,0.784516022,9.506656774,TINF2;HNRNPU;MEN1
Regulation Of Signal Transduction (GO:0009966),0.066272452,0.784516022,4.830468872,UGCG;BST1;GRK5;MFNG;RGS16;TSC2;ILK;TULP3;KCTD12;CD24
Regulation Of Smoothened Signaling Pathway (GO:0008589),0.066310562,0.784516022,7.498578918,TEDC1;TULP3;KIF7;TXNDC15
Positive Regulation Of DNA Recombination (GO:0045911),0.066310562,0.784516022,7.498578918,KMT5C;YEATS4;DMAP1;HDGFL2
Regulation Of Programmed Cell Death (GO:0043067),0.069962531,0.784516022,4.682360927,PRDX2;DFFA;MECOM;IRF3;DPP9;CIDEB;YEATS4;DMAP1;JAK3;BCAR1
Regulation Of Transmembrane Transport (GO:0034762),0.070116433,0.784516022,8.920522005,WWP2;TRIB3;KCNJ2
Chromosome Condensation (GO:0030261),0.070116433,0.784516022,8.920522005,H1-4;H1-10;H1-2
Glycosphingolipid Metabolic Process (GO:0006687),0.070116433,0.784516022,8.920522005,UGCG;CPTP;ST6GALNAC5
Positive Regulation Of Telomere Maintenance (GO:0032206),0.070212734,0.784516022,7.187259178,SLX4;ERCC1;TINF2;SLX1A
Regulation Of Cell Cycle G1/S Phase Transition (GO:1902806),0.071323936,0.784516022,6.216533431,SOX2;SMARCB1;BCL7B;PLCG2;APPL1
DNA Alkylation (GO:0006305),0.072910604,0.784516022,13.06027022,EHMT2;EHMT1
DNA Double-Strand Break Processing (GO:0000729),0.072910604,0.784516022,13.06027022,SLX4;SLX1A
Golgi To Endosome Transport (GO:0006895),0.072910604,0.784516022,13.06027022,AP4M1;CORO7
Melanosome Transport (GO:0032402),0.072910604,0.784516022,13.06027022,BLOC1S5;MKKS
Pigment Granule Transport (GO:0051904),0.072910604,0.784516022,13.06027022,BLOC1S5;MKKS
Platelet-Derived Growth Factor Receptor Signaling Pathway (GO:0048008),0.072910604,0.784516022,13.06027022,PDGFRA;BCAR1
Presynapse Assembly (GO:0099054),0.072910604,0.784516022,13.06027022,NLGN4Y;DVL1
Protein Localization To Cell-Cell Junction (GO:0150105),0.072910604,0.784516022,13.06027022,ARHGEF18;SCRIB
Regulation Of Rac Protein Signal Transduction (GO:0035020),0.072910604,0.784516022,13.06027022,KBTBD7;ARF6
Mitochondrial Translation (GO:0032543),0.074458566,0.784516022,5.506452662,MRPL40;MRPS24;MRPS12;MRPL39;MRPL14;MRPL9
Negative Regulation Of Epithelial Cell Migration (GO:0010633),0.075481193,0.784516022,8.383516879,DUSP10;ADIPOR1;DCN
Regulation Of Activated T Cell Proliferation (GO:0046006),0.075481193,0.784516022,8.383516879,IGF2;SCRIB;CD24
Cellular Response To Insulin Stimulus (GO:0032869),0.077363498,0.784516022,5.366704769,IGF2;TRIB3;FOXO4;BCAR1;SLC27A4;APPL1
Negative Regulation Of TOR Signaling (GO:0032007),0.078361249,0.784516022,6.61387091,ENDOG;TBC1D7;TSC2;CASTOR1
DNA Damage Checkpoint Signaling (GO:0000077),0.081021316,0.784516022,7.890278781,CHEK2;PRPF19;RHNO1
Response To Estrogen (GO:0043627),0.081021316,0.784516022,7.890278781,RBBP5;CD24;PELP1
Positive Regulation Of Transcription By RNA Polymerase I (GO:0045943),0.081021316,0.784516022,7.890278781,SMARCB1;MYBBP1A;CARM1
