Term,P-value,Adjusted P-value,Combined Score,Genes
poly(A)-specific Ribonuclease Activity (GO:0004535),0.057256012,0.229782644,53.32023276,NOCT
"Intramolecular Oxidoreductase Activity, Transposing C=C Bonds (GO:0016863)",0.057256012,0.229782644,53.32023276,ECI1
"Oxidoreductase Activity, Acting On The CH-NH Group Of Donors, NAD Or NADP As Acceptor (GO:0016646)",0.061878221,0.229782644,47.5478141,ALDH1L1
Inhibitory Extracellular Ligand-Gated Monoatomic Ion Channel Activity (GO:0005237),0.061878221,0.229782644,47.5478141,GLRA2
Insulin-Like Growth Factor Receptor Binding (GO:0005159),0.061878221,0.229782644,47.5478141,IGF2
K63-linked Deubiquitinase Activity (GO:0061578),0.061878221,0.229782644,47.5478141,STAMBPL1
Phosphatase Activity (GO:0016791),0.062623929,0.229782644,14.12454156,DUSP10;NOCT
Alanine Transmembrane Transporter Activity (GO:0022858),0.066477997,0.229782644,42.7571585,SLC38A1
Aldehyde Dehydrogenase (NAD+) Activity (GO:0004029),0.066477997,0.229782644,42.7571585,ALDH1L1
Aldehyde Dehydrogenase [NAD(P)+] Activity (GO:0004030),0.066477997,0.229782644,42.7571585,ALDH1L1
Transaminase Activity (GO:0008483),0.066477997,0.229782644,42.7571585,GOT2
MAP Kinase Phosphatase Activity (GO:0033549),0.066477997,0.229782644,42.7571585,DUSP10
Nucleotidase Activity (GO:0008252),0.066477997,0.229782644,42.7571585,NT5DC2
RNA Polymerase III Activity (GO:0001056),0.07105545,0.240379076,38.72587138,POLR3K
Transition Metal Ion Binding (GO:0046914),0.073516039,0.24352188,6.052500457,BLM;TES;MMP16;PAPPA;CXXC4
Four-Way Junction DNA Binding (GO:0000400),0.075610686,0.24400397,35.29303732,BLM
Chemokine Binding (GO:0019956),0.080143812,0.24400397,32.33951285,ITGA4
Single-Stranded DNA Binding (GO:0003697),0.080601189,0.24400397,11.05526044,BLM;MCM5
5'-3' RNA Polymerase Activity (GO:0034062),0.084654933,0.24400397,29.77530815,POLR3K
Amino Acid:Sodium Symporter Activity (GO:0005283),0.084654933,0.24400397,29.77530815,SLC38A1
"Hydrolase Activity, Hydrolyzing N-glycosyl Compounds (GO:0016799)",0.084654933,0.24400397,29.77530815,BST1
Ligand-Gated Monoatomic Anion Channel Activity (GO:0099095),0.084654933,0.24400397,29.77530815,GLRA2
Metalloendopeptidase Activity (GO:0004222),0.087894384,0.24400397,10.13328248,MMP16;PAPPA
Alcohol Dehydrogenase (NADP+) Activity (GO:0008106),0.089144156,0.24400397,27.53125985,AKR1B1
Metalloaminopeptidase Activity (GO:0070006),0.089144156,0.24400397,27.53125985,MMP16
Actinin Binding (GO:0042805),0.093611586,0.24400397,25.55338909,MAGI1
"Oxidoreductase Activity, Acting On The Aldehyde Or Oxo Group Of Donors, NAD Or NADP As Acceptor (GO:0016620)",0.093611586,0.24400397,25.55338909,AKR1B1
DNA-directed DNA Polymerase Activity (GO:0003887),0.093611586,0.24400397,25.55338909,POLD1
DNA Polymerase Activity (GO:0034061),0.098057327,0.246298284,23.7989897,POLD1
RNA Polymerase II-specific DNA-binding Transcription Factor Binding (GO:0061629),0.101584091,0.246298284,6.315608195,TAF4B;AKR1B1;DLL1
Protein Kinase A Regulatory Subunit Binding (GO:0034237),0.102481484,0.246298284,22.23385962,AKAP1
Deubiquitinase Activity (GO:0101005),0.106144114,0.246298284,8.331526417,STAMBPL1;USP44
Alpha-Actinin Binding (GO:0051393),0.106884161,0.246298284,20.83030537,MAGI1
mRNA 3'-UTR AU-rich Region Binding (GO:0035925),0.106884161,0.246298284,20.83030537,HNRNPA0
Protein Tyrosine/Serine/Threonine Phosphatase Activity (GO:0008138),0.106884161,0.246298284,20.83030537,DUSP10
Mitogen-Activated Protein Kinase Binding (GO:0051019),0.106884161,0.246298284,20.83030537,DUSP10
"DNA-binding Transcription Repressor Activity, RNA Polymerase II-specific (GO:0001227)",0.116993947,0.264921242,5.550978635,ZEB2;SATB1;HES5
Inward Rectifier Potassium Channel Activity (GO:0005242),0.119964336,0.264921242,17.38160274,KCNN3
NF-kappaB Binding (GO:0051059),0.119964336,0.264921242,17.38160274,TAF4B
Metallopeptidase Activity (GO:0008237),0.123678089,0.267391451,7.059707441,MMP16;PAPPA
G Protein-Coupled Receptor Activity (GO:0004930),0.124469994,0.267391451,5.236088497,ADGRA1;AKR1B1;ADGRL4
Cell Adhesion Mediator Activity (GO:0098631),0.128578929,0.267391451,15.56618752,VCAM1
"RNA Endonuclease Activity, Producing 5'-Phosphomonoesters (GO:0016891)",0.128578929,0.267391451,15.56618752,RNASEH2A
Aminopeptidase Activity (GO:0004177),0.132854872,0.267391451,14.7701134,MMP16
Protein Tyrosine Kinase Activator Activity (GO:0030296),0.132854872,0.267391451,14.7701134,CD24
methyl-CpG Binding (GO:0008327),0.132854872,0.267391451,14.7701134,CXXC4
General Transcription Initiation Factor Binding (GO:0140296),0.137110046,0.269141943,14.03735619,AKR1B1
"RNA Exonuclease Activity, Producing 5'-Phosphomonoesters (GO:0016896)",0.137110046,0.269141943,14.03735619,NOCT
Ubiquitin Conjugating Enzyme Activity (GO:0061631),0.14555849,0.274989698,12.73526431,UBE2QL1
Ubiquitin-Like Protein Peptidase Activity (GO:0019783),0.14555849,0.274989698,12.73526431,USP44
Telomeric DNA Binding (GO:0042162),0.149751956,0.274989698,12.15485142,BLM
DNA Secondary Structure Binding (GO:0000217),0.149751956,0.274989698,12.15485142,BLM
3'-5'-RNA Exonuclease Activity (GO:0000175),0.153925051,0.274989698,11.61532352,NOCT
Transcription Coactivator Binding (GO:0001223),0.153925051,0.274989698,11.61532352,AKR1B1
DNA-directed 5'-3' RNA Polymerase Activity (GO:0003899),0.153925051,0.274989698,11.61532352,POLR3K
Solute:Sodium Symporter Activity (GO:0015370),0.153925051,0.274989698,11.61532352,SLC4A4
Ubiquitin-Like Protein Conjugating Enzyme Activity (GO:0061650),0.158077872,0.279270907,11.11275137,UBE2QL1
Amino Acid Binding (GO:0016597),0.162210517,0.280342089,10.64368118,GLRA2
Basal RNA Polymerase II Transcription Machinery Binding (GO:0001099),0.162210517,0.280342089,10.64368118,AKR1B1
Transmitter-Gated Monoatomic Ion Channel Activity (GO:0022824),0.178541264,0.305247967,9.046436299,GLRA2
Neutral L-amino Acid Transmembrane Transporter Activity (GO:0015175),0.182574472,0.308822778,8.705479391,SLC38A1
Kinase Activator Activity (GO:0019209),0.194556867,0.325626756,7.794244625,MOB3B
Damaged DNA Binding (GO:0003684),0.198512234,0.328785888,7.523076495,POLD1
E-box Binding (GO:0070888),0.221843899,0.363641031,6.16345781,OLIG1
Phosphoric Ester Hydrolase Activity (GO:0042578),0.225666607,0.364858453,5.97374478,DUSP10
Monoatomic Anion Channel Activity (GO:0005253),0.229470725,0.364858453,5.792783374,GLRA2
Serine-Type Endopeptidase Inhibitor Activity (GO:0004867),0.229470725,0.364858453,5.792783374,SERPINE1
Chloride Transmembrane Transporter Activity (GO:0015108),0.237023555,0.365826081,5.454963063,GLRA2
Calcium Ion Binding (GO:0005509),0.24063944,0.365826081,2.565069182,CDHR3;ASPN;THBS4
Amino Acid Transmembrane Transporter Activity (GO:0015171),0.240772444,0.365826081,5.29713271,SLC38A1
Protein Serine/Threonine Kinase Activator Activity (GO:0043539),0.240772444,0.365826081,5.29713271,IGF2
Protein Kinase Binding (GO:0019901),0.241583261,0.365826081,2.312425584,DUSP10;DCX;CD24;HNRNPA0
Metalloexopeptidase Activity (GO:0008235),0.244503099,0.366754649,5.14610322,MMP16
Nuclease Activity (GO:0004518),0.248215609,0.367942797,5.001476661,RNASEH2A
Carboxylic Acid Transmembrane Transporter Activity (GO:0046943),0.251910061,0.367942797,4.86288456,SLC38A1
Metal Ion Binding (GO:0046872),0.252237515,0.367942797,2.197669952,MTHFD2;CDHR3;ASPN;THBS4
Secondary Active Transmembrane Transporter Activity (GO:0015291),0.255586542,0.369438729,4.729985272,SLC4A4
PDZ Domain Binding (GO:0030165),0.262885936,0.376566341,4.48001881,CXXC4
L-amino Acid Transmembrane Transporter Activity (GO:0015179),0.266509021,0.378347628,4.362382466,SLC38A1
Chloride Channel Activity (GO:0005254),0.270114479,0.380072585,4.249296983,GLRA2
Methylation-Dependent Protein Binding (GO:0140034),0.284361726,0.396609776,3.837924991,SGF29
RNA Nuclease Activity (GO:0004540),0.291381772,0.402866972,3.65403968,RNASEH2A
Methylated Histone Binding (GO:0035064),0.294866192,0.404170039,3.566937408,SGF29
ATPase Binding (GO:0051117),0.301784233,0.410117035,3.401659824,AKR1B1
Ligand-Gated Monoatomic Cation Channel Activity (GO:0099094),0.308635088,0.415872704,3.24738234,KCNN3
Protein Tyrosine Phosphatase Activity (GO:0004725),0.312035522,0.416921412,3.174059444,DUSP10
Voltage-Gated Potassium Channel Activity (GO:0005249),0.325472505,0.43125107,2.903675755,KCNN3
Growth Factor Activity (GO:0008083),0.341903949,0.449278743,2.610356116,IGF2
mRNA 3'-UTR Binding (GO:0003730),0.367373933,0.478790617,2.222909001,HNRNPA0
Cysteine-Type Deubiquitinase Activity (GO:0004843),0.382794624,0.494738523,2.021243832,USP44
Transcription Coregulator Binding (GO:0001221),0.385833817,0.494738523,1.984042737,AKR1B1
Kinase Binding (GO:0019900),0.392661301,0.497422168,1.256063965,DCX;CD24;HNRNPA0
Protein Kinase Regulator Activity (GO:0019887),0.397843167,0.497422168,1.844512693,MOB3B
DNA Binding (GO:0003677),0.400183407,0.497422168,1.115970481,BLM;SATB1;POLD1;TAF4B;MCM5
DNA-binding Transcription Factor Binding (GO:0140297),0.403121931,0.497422168,1.32640662,LMO3;AKR1B1
Phosphatidylinositol Binding (GO:0035091),0.40669737,0.497422168,1.748756252,PASK
Kinase Activity (GO:0016301),0.40669737,0.497422168,1.748756252,CDC7
Endopeptidase Inhibitor Activity (GO:0004866),0.424020978,0.514651416,1.577053103,SERPINE1
Cadherin Binding (GO:0045296),0.464992359,0.555893121,0.985601103,TES;CDHR3
Receptor Ligand Activity (GO:0048018),0.464992359,0.555893121,0.985601103,IGF2;DLL1
Endopeptidase Activity (GO:0004175),0.490583896,0.582110742,0.871886821,MMP16;PAPPA
Protein Serine/Threonine Kinase Activity (GO:0004674),0.501540956,0.590703792,0.827153769,CDC7;PASK
Cysteine-Type Peptidase Activity (GO:0008234),0.508296866,0.594258836,0.96393268,USP44
Magnesium Ion Binding (GO:0000287),0.534349093,0.620156977,0.828503717,MTHFD2
Ubiquitin-Protein Transferase Activity (GO:0004842),0.602564791,0.694259433,0.501720992,UBE2QL1;KLHL13
Small GTPase Binding (GO:0031267),0.62558016,0.715591694,0.481238656,BICDL1
Guanyl-Nucleotide Exchange Factor Activity (GO:0005085),0.632938223,0.718836982,0.459856812,RAPGEF3
RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978),0.649461996,0.732372038,0.390245177,ZEB2;SATB1;AKR1B1;OLIG1;HES5
Transcription Regulatory Region Nucleic Acid Binding (GO:0001067),0.669282527,0.745989519,0.36531287,AKR1B1
GTPase Binding (GO:0051020),0.670921391,0.745989519,0.36144858,BICDL1
Transcription Cis-Regulatory Region Binding (GO:0000976),0.67866354,0.749357659,0.332434982,SATB1;AKR1B1
Sequence-Specific DNA Binding (GO:0043565),0.687359018,0.751260074,0.318158031,SATB1;CXXC4;HES5
Microtubule Binding (GO:0008017),0.693038907,0.751260074,0.312318373,DCX
Ubiquitin-Like Protein Transferase Activity (GO:0019787),0.694561201,0.751260074,0.309134793,KLHL13
ATP Binding (GO:0005524),0.748445164,0.802658567,0.210865461,BLM
mRNA Binding (GO:0003729),0.752176896,0.802658567,0.205002088,NOCT
Adenyl Ribonucleotide Binding (GO:0032559),0.78338959,0.830392965,0.160108051,BLM
Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987),0.793033463,0.833700989,0.169644268,ZEB2;SATB1;AKR1B1;HES5
Tubulin Binding (GO:0015631),0.796997172,0.833700989,0.1426923,DCX
RNA Binding (GO:0003723),0.829661333,0.859274241,0.13207224,TES;NOCT;GOT2;AKAP1;HNRNPA0
Double-Stranded DNA Binding (GO:0003690),0.832253039,0.859274241,0.113663691,SATB1;HES5
Protein Homodimerization Activity (GO:0042803),0.839856827,0.861530552,0.106003404,BLM;FBLN5
RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977),0.858010354,0.874510553,0.099701736,ZEB2;SATB1;AKR1B1;HES5
Sequence-Specific Double-Stranded DNA Binding (GO:1990837),0.869872442,0.880953619,0.07816484,AKR1B1;HES5
GTPase Regulator Activity (GO:0030695),0.878165544,0.883723554,0.061678115,RAPGEF3
Purine Ribonucleoside Triphosphate Binding (GO:0035639),0.906182275,0.906182275,0.041537649,BLM
ECM-receptor interaction,4.65E-06,5.58E-04,193.5652597,COL1A1;COL1A2;ITGA4;ITGA11;COL6A3;THBS4
DNA replication,2.83E-05,0.001444442,276.7127563,RFC5;RNASEH2A;POLD1;MCM5
Human papillomavirus infection,3.61E-05,0.001444442,62.89827776,MAGI1;COL1A1;COL1A2;ITGA4;ITGA11;EIF4EBP1;COL6A3;THBS4;HES5
PI3K-Akt signaling pathway,6.07E-05,0.001821246,55.65823785,MAGI1;COL1A1;COL1A2;ITGA4;ITGA11;EIF4EBP1;IGF2;COL6A3;THBS4
Focal adhesion,4.67E-04,0.011215964,50.54266135,COL1A1;COL1A2;ITGA4;ITGA11;COL6A3;THBS4
AGE-RAGE signaling pathway in diabetic complications,0.001483293,0.02966587,57.18359474,COL1A1;VCAM1;COL1A2;SERPINE1
One carbon pool by folate,0.004263111,0.073081896,125.6041947,ALDH1L1;MTHFD2
Mismatch repair,0.005622726,0.08434089,102.1847637,RFC5;POLD1
Protein digestion and absorption,0.014171457,0.185431512,26.61717357,COL1A1;COL1A2;COL6A3
Homologous recombination,0.017213026,0.185431512,43.10110621,BLM;POLD1
Proteoglycans in cancer,0.018334901,0.185431512,16.67900758,COL1A1;COL1A2;LUM;IGF2
Leukocyte transendothelial migration,0.018543151,0.185431512,22.45225476,VCAM1;ITGA4;RAPGEF3
Nucleotide excision repair,0.022266164,0.205533822,34.9766995,RFC5;POLD1
Malaria,0.02499488,0.214241824,31.78953107,VCAM1;THBS4
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.029045598,0.232364781,145.1819826,GOT2
Notch signaling pathway,0.03393745,0.251760114,24.53959126,DLL1;HES5
Breast cancer,0.035666016,0.251760114,14.44395145,FRAT1;DLL1;HES5
Arrhythmogenic right ventricular cardiomyopathy,0.054860703,0.365738019,15.98804109,ITGA4;ITGA11
Hypertrophic cardiomyopathy,0.07211829,0.446880678,12.33425062,ITGA4;ITGA11
Phenylalanine metabolism,0.080143812,0.446880678,32.33951285,GOT2
Dilated cardiomyopathy,0.080601189,0.446880678,11.05526044,ITGA4;ITGA11
Hematopoietic cell lineage,0.084953665,0.446880678,10.48801206,ITGA4;CD24
Amoebiasis,0.089376136,0.446880678,9.962475191,COL1A1;COL1A2
Pancreatic secretion,0.089376136,0.446880678,9.962475191,BST1;SLC4A4
HIF-1 signaling pathway,0.099951113,0.453608405,8.876431376,SERPINE1;EIF4EBP1
Arginine biosynthesis,0.102481484,0.453608405,22.23385962,GOT2
Proximal tubule bicarbonate reclamation,0.106884161,0.453608405,20.83030537,SLC4A4
Folate biosynthesis,0.119964336,0.453608405,17.38160274,AKR1B1
Cell cycle,0.123678089,0.453608405,7.059707441,CDC7;MCM5
Platelet activation,0.123678089,0.453608405,7.059707441,COL1A1;COL1A2
Relaxin signaling pathway,0.131867082,0.453608405,6.572075978,COL1A1;COL1A2
Citrate cycle (TCA cycle),0.137110046,0.453608405,14.03735619,DLST
Galactose metabolism,0.141344553,0.453608405,13.36105006,AKR1B1
RNA polymerase,0.141344553,0.453608405,13.36105006,POLR3K
Apelin signaling pathway,0.145217373,0.453608405,5.885940075,SERPINE1;CCN2
Base excision repair,0.149751956,0.453608405,12.15485142,POLD1
Fructose and mannose metabolism,0.149751956,0.453608405,12.15485142,AKR1B1
Ubiquitin mediated proteolysis,0.150295033,0.453608405,5.65456582,UBE2QL1;KLHL13
Pentose and glucuronate interconversions,0.153925051,0.453608405,11.61532352,AKR1B1
Nicotinate and nicotinamide metabolism,0.158077872,0.453608405,11.11275137,BST1
Tyrosine metabolism,0.162210517,0.453608405,10.64368118,GOT2
Cell adhesion molecules,0.164003426,0.453608405,5.09649535,VCAM1;ITGA4
African trypanosomiasis,0.166323082,0.453608405,10.20506582,VCAM1
"Alanine, aspartate and glutamate metabolism",0.166323082,0.453608405,10.20506582,GOT2
Cellular senescence,0.177925675,0.45837368,4.612112739,SERPINE1;EIF4EBP1
Tryptophan metabolism,0.186588079,0.45837368,8.38412801,DLST
Hippo signaling pathway,0.190254454,0.45837368,4.238881301,SERPINE1;CCN2
Fat digestion and absorption,0.19058218,0.45837368,8.080844797,GOT2
