Term,P-value,Adjusted P-value,Combined Score,Genes
Protein Serine/Threonine Phosphatase Complex (GO:0008287),0.459856336,0.842263183,1.294646966,PPP4R1
Rough Endoplasmic Reticulum (GO:0005791),0.4712158,0.854078637,1.210677077,TMEM97
Intercalated Disc (GO:0014704),0.482336925,0.865222938,1.133981488,DLG1
Glutamatergic Synapse (GO:0098978),0.489799074,0.869643253,0.876427571,IL1RAPL2;NPTX2
Bicellular Tight Junction (GO:0005923),0.509806986,0.886109822,0.795728536,AOC1;DLG1
Lipid Droplet (GO:0005811),0.516361347,0.886109822,0.770843016,PLIN4;ACSL3
Cul3-RING Ubiquitin Ligase Complex (GO:0031463),0.524536274,0.886109822,0.885292336,GLMN
Cul4-RING E3 Ubiquitin Ligase Complex (GO:0080008),0.524536274,0.886109822,0.885292336,GLMN
U4/U6 X U5 tri-snRNP Complex (GO:0046540),0.524536274,0.886109822,0.885292336,SNRNP40
Spliceosomal tri-snRNP Complex (GO:0097526),0.534538491,0.894324013,0.834779463,SNRNP40
Vesicle (GO:0031982),0.550762397,0.912691971,0.604575277,MYO1B;MYO5C;EZR;VCL;GRIA4
Cornified Envelope (GO:0001533),0.581487254,0.950547699,0.632095948,PPL
Tight Junction (GO:0070160),0.584532206,0.950547699,0.550212415,AOC1;DLG1
Endocytic Vesicle (GO:0030139),0.592136233,0.953997265,0.508797655,CD163;FMNL1;CACNG3;GRIA4
Phagocytic Vesicle (GO:0045335),0.624087524,0.986243663,0.44844617,FMNL1;PGLYRP1
Endosome Membrane (GO:0010008),0.637017312,0.986243663,0.415116685,LAMP5;PXK;MYO1B;APH1B;RAB15;PMEPA1;TICAM1
Heterochromatin (GO:0000792),0.646975965,0.986243663,0.422888519,INCENP
Voltage-Gated Calcium Channel Complex (GO:0005891),0.646975965,0.986243663,0.422888519,CACNG3
Endocytic Vesicle Membrane (GO:0030666),0.652204174,0.986243663,0.382852392,CD163;CACNG3;GRIA4
Multivesicular Body (GO:0005771),0.654407649,0.986243663,0.403371899,CST7
Apical Junction Complex (GO:0043296),0.655623092,0.986243663,0.378274178,DLG1;AOC1
Golgi Cisterna (GO:0031985),0.66168325,0.986243663,0.384977143,SGMS1
Cation Channel Complex (GO:0034703),0.675779211,0.986243663,0.35123948,KCNK4
Tertiary Granule Lumen (GO:1904724),0.675779211,0.986243663,0.35123948,PGLYRP1
Golgi Membrane (GO:0000139),0.677188683,0.986243663,0.346134352,ACER2;RAB2B;SGMS1;PMEPA1;ST3GAL6;SNAP29;SREBF2;GALNT9
Lytic Vacuole (GO:0000323),0.691946837,0.986243663,0.313031864,PLAAT3;TMEM97;CD1D;CST7
Intracellular Non-Membrane-Bounded Organelle (GO:0043232),0.698048417,0.986243663,0.327095918,RNF20;FHOD3;ABCC4;CDKN1A;HIP1;HMGB2;ODF3L1;ASAP1;ACSL3;PPL;ETV6;ARL4A;KLF6;ZAR1L;INCENP;C1ORF109;S100A13;PLIN4;CASP1;FBXO5;FAM83D;VCL;MARK1
Cytoplasmic Vesicle Lumen (GO:0060205),0.69892034,0.986243663,0.295272036,PCSK1;VCL
Spliceosomal snRNP Complex (GO:0097525),0.702237524,0.986243663,0.294127744,SNRNP40
Early Endosome Membrane (GO:0031901),0.703442047,0.986243663,0.287398246,LAMP5;PMEPA1
Azurophil Granule Membrane (GO:0035577),0.708508379,0.986243663,0.281685585,SNAP29
Calcium Channel Complex (GO:0034704),0.714647477,0.986894134,0.269884217,CACNG3
Sperm Flagellum (GO:0036126),0.72065758,0.987357629,0.258683201,ATP2B4
SCF Ubiquitin Ligase Complex (GO:0019005),0.726541392,0.987642204,0.248045177,NCCRP1
Microtubule (GO:0005874),0.74900363,0.996972504,0.221608194,DLG1;CASP1;TTL
Organelle Envelope Lumen (GO:0031970),0.764407497,0.996972504,0.186736386,CCAR1
Spindle Microtubule (GO:0005876),0.764407497,0.996972504,0.186736386,TTL
9+2 Motile Cilium (GO:0097729),0.774231714,0.996972504,0.172687014,ATP2B4
Recycling Endosome Membrane (GO:0055038),0.774231714,0.996972504,0.172687014,LAMP5
Early Endosome (GO:0005769),0.775447982,0.996972504,0.195590542,LAMP5;PXK;MYO1B;PMEPA1;TICAM1
Cilium (GO:0005929),0.791193111,0.996972504,0.172037041,RAB15;TBC1D30;USH1C;ALPK1
Secretory Granule Lumen (GO:0034774),0.796312581,0.996972504,0.170021869,PCSK1;AOC1;LCN2;PGLYRP1;VCL
Collagen-Containing Extracellular Matrix (GO:0062023),0.798488576,0.996972504,0.170737674,ANGPT4;COL5A1;SSC5D;LAMC2;ADAMTS8;CBLN4
Extrinsic Component Of Cytoplasmic Side Of Plasma Membrane (GO:0031234),0.805507275,0.996972504,0.132470309,FARP1
Mitotic Spindle (GO:0072686),0.805517334,0.996972504,0.142661216,HECW2;FAM83D
Late Endosome (GO:0005770),0.80779561,0.996972504,0.147309661,PXK;CST7;VAMP5
Clathrin-Coated Vesicle (GO:0030136),0.809607374,0.996972504,0.127674058,HIP1
Coated Vesicle (GO:0030135),0.813621239,0.996972504,0.123079645,HIP1
Autophagosome (GO:0005776),0.82884999,0.999245748,0.106527981,SNAP29
Mitochondrial Outer Membrane (GO:0005741),0.829113334,0.999245748,0.116930694,AOC1;ACSL3
Lysosomal Lumen (GO:0043202),0.839451074,0.999245748,0.095795679,SDC4
Secretory Granule Membrane (GO:0030667),0.840557924,0.999245748,0.117240353,ABCC4;PAM;CYB561;SNAP29
U2-type Spliceosomal Complex (GO:0005684),0.852573746,0.999245748,0.083364032,SNRNP40
Intracellular Organelle Lumen (GO:0070013),0.864385268,0.999245748,0.111836115,ERO1B;SDC4;GPT2;ETNPPL;LARS2;FOXRED2;ALDH6A1;COL5A1;VGF;EOGT;DNAJB11;PGLYRP1;VCL;CHGB
Nuclear Chromosome (GO:0000228),0.867482387,0.999245748,0.070332888,TTN
Organelle Outer Membrane (GO:0031968),0.875139628,0.999245748,0.073735873,AOC1;ACSL3
Golgi Lumen (GO:0005796),0.880886578,0.999245748,0.059562334,SDC4
trans-Golgi Network Membrane (GO:0032588),0.880886578,0.999245748,0.059562334,MYO1B
cullin-RING Ubiquitin Ligase Complex (GO:0031461),0.883247727,0.999245748,0.067027228,GLMN;NCCRP1
Cell Projection Membrane (GO:0031253),0.892937808,0.999245748,0.050611116,SLC7A5
Ficolin-1-Rich Granule Lumen (GO:1904813),0.927092675,0.999245748,0.028815771,VCL
Axon (GO:0030424),0.931364823,0.999245748,0.032474283,COBL;PRPH
Asymmetric Synapse (GO:0032279),0.941115192,0.999245748,0.021340383,ARHGAP32
Mitochondrial Matrix (GO:0005759),0.942502136,0.999245748,0.031193444,LARS2;ALDH6A1;GPT2;ETNPPL
Lysosome (GO:0005764),0.955027312,0.999245748,0.025606122,SDC4;PLAAT3;TMEM97;CD1D;CST7;CYB561
Mitochondrial Envelope (GO:0005740),0.955399917,0.999245748,0.014595129,RNF144B
Azurophil Granule (GO:0042582),0.963208215,0.999245748,0.011285323,SNAP29
Nucleolus (GO:0005730),0.964723104,0.999245748,0.021661759,RNF20;ABCC4;CDKN1A;ARL4A;KLF6;C1ORF109;S100A13;HMGB2;CASP1;ETV6
Recycling Endosome (GO:0055037),0.966225408,0.999245748,0.01007981,LAMP5
Vacuolar Lumen (GO:0005775),0.967640114,0.999245748,0.009528964,SDC4
Nuclear Lumen (GO:0031981),0.968060664,0.999245748,0.019340591,RNF20;ABCC4;CDKN1A;ARL4A;KLF6;C1ORF109;S100A13;HMGB2;CASP1;ETV6
Tertiary Granule (GO:0070820),0.968325138,0.999245748,0.009265574,PGLYRP1
Chromosome (GO:0005694),0.969652085,0.999245748,0.008761616,HMGB2
Ficolin-1-Rich Granule (GO:0101002),0.980222553,0.999245748,0.005053242,VCL
Intracellular Membrane-Bounded Organelle (GO:0043231),0.981105874,0.999245748,0.015043553,CDKN1A;HIP1;CELF1;PANK1;CTNND1;FAM107A;HSPB2;HMGB2;SCX;FASLG;CROT;OSBPL11;CCAR1;RND1;PHF24;SSX7;PMEPA1;SSX4;SSX5;FBXO5;SSX2;SSX3;SSX1;MEF2C;ZHX3;PROX2;IGFN1;KLF15;TLE6;SREBF2;ETV5;OVOL2;ETV6;SULT2B1;SLC7A5;LBHD1;OLFM2;ARL4A;CCKBR;VGF;INCENP;MSH5;PRKD2;PGR;HECA;PPARA;TRIB1;SGK1;KDM3A;SGMS1;TSHZ3;CENPA;NPAS2;CCNB2;BTAF1;CUX2;C1ORF109;RSBN1L;ZNF703;S100A13;HIVEP1;TP53BP2;MAPK6;MAPK4;RNF20;CYP2J2;XBP1;PCGF5;ZBTB16;OSBPL3;KCNIP3;STYX;ATP2B4;LARP7;NR1D2;DHCR24;PER2;SQLE;PER1;MAPK11;SNRNP40;KLF6;DLG1;KLF5;CAMK4;KLF9;TRIP10;SYCP3;CEP43;FGF12;PFKP
Nucleus (GO:0005634),0.988065748,0.999245748,0.009121678,CDKN1A;HIP1;CELF1;PANK1;CTNND1;FAM107A;HSPB2;HMGB2;SCX;FASLG;CCAR1;PHF24;SSX7;SSX4;SSX5;FBXO5;SSX2;SSX3;SSX1;MEF2C;ZHX3;PROX2;IGFN1;KLF15;TLE6;SREBF2;ETV5;OVOL2;ETV6;LBHD1;OLFM2;ARL4A;INCENP;MSH5;PRKD2;PGR;HECA;PPARA;TRIB1;SGK1;KDM3A;SGMS1;TSHZ3;CENPA;NPAS2;CCNB2;CUX2;C1ORF109;RSBN1L;ZNF703;S100A13;HIVEP1;TP53BP2;MAPK6;MAPK4;RNF20;XBP1;PCGF5;ZBTB16;KCNIP3;STYX;LARP7;NR1D2;DHCR24;PER2;PER1;MAPK11;SNRNP40;KLF6;DLG1;CAMK4;KLF9;SYCP3;CEP43;FGF12;PFKP
trans-Golgi Network (GO:0005802),0.994175875,0.999245748,0.001123388,MYO1B
Lysosomal Membrane (GO:0005765),0.995709525,0.999245748,0.001117321,CYB561;SNAP29
Lytic Vacuole Membrane (GO:0098852),0.99783296,0.999245748,3.49E-04,CYB561
Mitochondrial Membrane (GO:0031966),0.999245748,0.999245748,1.92E-04,RNF144B;AOC1;ACSL3
Copper Ion Binding (GO:0005507),0.002441803,0.481364031,35.40164575,AOC1;AOC2;HEPH;S100A13;PAM
Phosphofructokinase Activity (GO:0008443),0.006240179,0.481364031,118.8784533,PFKFB4;PFKP
MAP Kinase Kinase Kinase Activity (GO:0004709),0.006938351,0.481364031,43.72599044,MAP3K9;MAP3K6;MAP3K5
N-acyltransferase Activity (GO:0016410),0.007324371,0.481364031,28.00226222,CERS5;NAT8B;NAT8;PLAAT3
Thyroid Hormone Transmembrane Transporter Activity (GO:0015349),0.008615372,0.481364031,89.05608342,SLC7A5;SLCO4A1
RAGE Receptor Binding (GO:0050786),0.011328497,0.481364031,69.93621438,HMGB2;S100A13
Potassium Channel Regulator Activity (GO:0015459),0.014498453,0.481364031,19.40021695,DLG1;KCNIP3;SGK1;ARPP19
Protein Kinase Inhibitor Activity (GO:0004860),0.014498453,0.481364031,19.40021695,CDKN1A;CAMK2N2;TRIB1;CEP43
JUN Kinase Kinase Kinase Activity (GO:0004706),0.017708343,0.481364031,47.21767695,MAP3K9;MAP3K5
Cadherin Binding (GO:0045296),0.017872442,0.481364031,8.096751202,CAST;CTNND1;ASAP1;FNBP1L;PPL;SLC9A3R2;CCNB2;PPFIBP1;DLG1;MYO1B;EZR;VCL;PFKP
Hormone Activity (GO:0005179),0.019687902,0.481364031,13.38123785,VGF;CRH;VIP;PTHLH;CHGB
MAP Kinase Activity (GO:0004707),0.021346163,0.481364031,40.02517391,MAPK11;MAPK6
Protein Kinase Binding (GO:0019901),0.023345062,0.481364031,6.513600919,GRB7;CDKN1A;CAVIN2;CAV2;ACSL3;TICAM1;TTN;BANK1;CAMK2N2;CEACAM4;PRKD2;FBXO5;TRIB1;EZR;FAM83D;CEP43;FAM83B;MAPK4
Titin Binding (GO:0031432),0.025264088,0.481364031,34.4429316,MYBPC1;TCAP
Transmembrane Receptor Protein Tyrosine Kinase Activator Activity (GO:0030297),0.025264088,0.481364031,34.4429316,ANGPT4;ALKAL2
"Intramolecular Oxidoreductase Activity, Transposing C=C Bonds (GO:0016863)",0.025264088,0.481364031,34.4429316,IDI1;SREBF2
Peptide Hormone Receptor Binding (GO:0051428),0.029448807,0.481364031,30.0055323,VIP;PTHLH
Chloride Channel Regulator Activity (GO:0017081),0.029448807,0.481364031,30.0055323,SGK1;STX1A
Protein Tyrosine Kinase Binding (GO:1990782),0.033342709,0.481364031,9.987630257,ANGPT4;BANK1;PITPNM3;CEACAM4;ALKAL2
Endopeptidase Activator Activity (GO:0061133),0.033887443,0.481364031,26.40830138,APH1B;CASP1
Sodium Channel Regulator Activity (GO:0017080),0.034022788,0.481364031,15.33761622,FXYD3;SGK1;FGF12
Sterol Binding (GO:0032934),0.035302006,0.481364031,11.41398559,SULT2B1;STARD4;OSBPL3;OSBPL11
Hormone Receptor Binding (GO:0051427),0.053938108,0.481364031,17.08291763,VIP;PTHLH
Transcription Corepressor Binding (GO:0001222),0.057812212,0.481364031,10.27535512,PER2;PER1;ZBTB16
Endopeptidase Regulator Activity (GO:0061135),0.057812212,0.481364031,10.27535512,CAST;APH1B;CST7
Protein Serine/Threonine Kinase Activity (GO:0004674),0.058364566,0.481364031,4.874344178,MAPK11;CAMK4;PRKD2;MAP3K9;ALPK1;SGK1;MAP3K6;MAPK6;MAPK4;MAP3K5;MARK1;TTN
1-Acylglycerol-3-Phosphate O-acyltransferase Activity (GO:0003841),0.059467499,0.481364031,15.53986795,MBOAT2;GPAT3
Kinase Binding (GO:0019900),0.062633199,0.481364031,4.412213773,GRB7;CDKN1A;CAV2;ACSL3;TICAM1;TTN;PER1;CAMK2N2;CASP1;FBXO5;FAM83D;CEP43;STX1A;FAM83B;MAPK4
Phosphoric Diester Hydrolase Activity (GO:0008081),0.064714514,0.481364031,9.386433341,GDPD5;PLCXD2;FAM83B
GTPase Regulator Activity (GO:0030695),0.064935917,0.481364031,4.40854278,RAP1GAP2;DENND2C;FARP1;ARAP2;ARHGEF18;ASAP1;SGSM1;ARHGAP32;ARHGAP31;RASGEF1B;RASGEF1C;TBC1D30;ARHGEF3;GARNL3
Lysophosphatidic Acid Acyltransferase Activity (GO:0042171),0.065181979,0.481364031,14.19868534,MBOAT2;GPAT3
Actinin Binding (GO:0042805),0.065181979,0.481364031,14.19868534,KCNN2;TTN
"Phosphatidylinositol-4,5-Bisphosphate Binding (GO:0005546)",0.06747787,0.481364031,7.33009885,GSDMC;MYO1B;HIP1;MARK1
Receptor Ligand Activity (GO:0048018),0.074744225,0.481364031,4.364780398,BMP3;KITLG;VGF;LIF;HMGB2;CRH;ALKAL2;PGLYRP1;VIP;PTHLH;CHGB
Cytokine Receptor Activity (GO:0004896),0.075837886,0.481364031,6.719310956,IL1RAPL2;MPL;OSMR;IL17RA
Phosphatase Inhibitor Activity (GO:0019212),0.077125868,0.481364031,11.99017024,STYX;ARPP19
Protein Kinase A Regulatory Subunit Binding (GO:0034237),0.077125868,0.481364031,11.99017024,EZR;WASF3
Cysteine-Type Endopeptidase Inhibitor Activity (GO:0004869),0.077125868,0.481364031,11.99017024,CAST;CST7
GTPase Activator Activity (GO:0005096),0.077776509,0.481364031,4.733581428,SGSM1;RAP1GAP2;ARHGAP32;ARHGAP31;TBC1D30;ARAP2;ASAP1;GARNL3
G Protein-Coupled Peptide Receptor Activity (GO:0008528),0.078735244,0.481364031,6.530591077,VIPR1;CCKBR;GLP2R;PTH2R
Phospholipase Activity (GO:0004620),0.078735244,0.481364031,6.530591077,PNPLA7;PITPNM3;PLAAT3;FAM83B
N-acetyltransferase Activity (GO:0008080),0.083335957,0.481364031,11.07351863,NAT8B;NAT8
Actin Monomer Binding (GO:0003785),0.083335957,0.481364031,11.07351863,MYL4;COBL
Alpha-Actinin Binding (GO:0051393),0.083335957,0.481364031,11.07351863,KCNN2;TTN
Cholesterol Binding (GO:0015485),0.087528286,0.481364031,7.282772076,SULT2B1;STARD4;OSBPL3
E-box Binding (GO:0070888),0.091620171,0.481364031,6.99692863,PER1;SCX;SREBF2
FAD Binding (GO:0071949),0.096186575,0.481364031,9.526116166,SQLE;AOC1
Epidermal Growth Factor Receptor Binding (GO:0005154),0.096186575,0.481364031,9.526116166,HIP1;FAM83B
1-Acylglycerophosphocholine O-acyltransferase Activity (GO:0047184),0.100690974,0.481364031,26.81420401,MBOAT2
Gap Junction Channel Activity Involved In Cell Communication By Electrical Coupling (GO:1903763),0.100690974,0.481364031,26.81420401,GJB6
Supercoiled DNA Binding (GO:0097100),0.100690974,0.481364031,26.81420401,HMGB2
